proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,5751,success,2017-11-03 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,5042,success,2017-11-03 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,2196,success,2017-11-03 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,5725,success,2017-11-03 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,3387,success,2017-11-03 02:00:00,root
ftp,10.50.50.26,21,10.64.105.242,2024,success,2017-11-03 07:08:30,1140
postgresql,10.50.50.26,5432,10.64.105.13,2325,success,2017-11-03 07:17:03,1493
ssh,10.7.133.15,22,10.64.105.120,1776,success,2017-11-03 07:17:10,1102
sftp,10.50.50.28,22,10.64.105.75,2139,success,2017-11-03 07:21:36,1359
ssh,10.50.50.26,22,10.64.105.160,1561,success,2017-11-03 07:21:41,1397
postgresql,10.50.50.29,5432,10.64.105.107,1867,error,2017-11-03 07:21:55,1145
ftp,10.50.50.26,21,10.64.106.34,1767,success,2017-11-03 07:26:22,1210
sftp,10.50.50.46,22,10.64.105.116,2241,success,2017-11-03 07:26:48,1204
mongodb,10.50.50.40,8005,10.64.105.112,2279,success,2017-11-03 07:28:09,1456
tds,10.50.50.43,54238,10.64.105.242,2024,success,2017-11-03 07:39:00,1140
tds,10.50.50.26,54238,10.64.105.164,1949,success,2017-11-03 07:39:41,1167
mysql,10.50.50.26,4443,10.64.105.203,1835,success,2017-11-03 07:40:42,1417
ftp,10.50.50.40,21,10.64.105.54,2235,success,2017-11-03 07:42:05,1257
sftp,10.50.50.26,22,10.64.105.137,1854,success,2017-11-03 07:45:04,1224
postgresql,10.50.50.40,5432,10.64.105.58,1941,success,2017-11-03 07:46:15,1457
ssh,10.7.133.15,22,10.64.105.9,1713,success,2017-11-03 07:47:50,1307
mongodb,10.7.133.16,8005,10.64.105.72,2009,error,2017-11-03 07:48:18,1286
ssh,10.50.50.49,22,10.64.106.45,1863,success,2017-11-03 07:48:56,1484
postgresql,10.50.50.28,5432,10.64.105.13,2325,success,2017-11-03 07:49:41,1493
mysql,10.50.50.26,4443,10.64.105.36,1786,success,2017-11-03 07:52:59,1220
postgresql,10.50.50.26,5432,10.64.105.107,1867,success,2017-11-03 07:55:24,1145
mongodb,10.50.50.37,8005,10.64.106.34,1767,error,2017-11-03 07:55:37,1210
tds,10.50.50.43,54238,10.64.105.112,2279,success,2017-11-03 07:56:50,1456
sftp,10.50.50.28,22,10.64.105.75,2139,success,2017-11-03 07:58:57,1359
mysql,10.50.50.46,4443,10.64.105.160,1561,success,2017-11-03 08:00:53,1397
ssh,10.50.50.26,22,10.64.105.73,2404,success,2017-11-03 08:01:15,1151
sftp,10.50.50.38,22,10.64.105.116,2241,success,2017-11-03 08:01:50,1204
tds,10.50.50.28,54238,10.64.106.20,2005,success,2017-11-03 08:02:40,1459
tds,10.50.50.26,54238,10.64.105.25,2437,error,2017-11-03 08:03:04,1154
ftp,10.50.50.29,21,10.64.105.183,2017,success,2017-11-03 08:04:13,1254
sftp,10.50.50.37,22,10.64.105.250,1577,success,2017-11-03 08:07:00,1252
mongodb,10.50.50.44,8005,10.64.105.77,1699,success,2017-11-03 08:07:53,1127
tds,10.50.50.28,54238,10.64.105.143,2495,success,2017-11-03 08:08:00,1142
