stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-26 02:00:00,2017-11-26 02:00:10,smtp,10.7.133.21,25,10.50.50.26,4711,7291,5394
2017-11-26 02:00:00,2017-11-26 02:00:20,smtp,10.7.133.19,25,10.50.50.31,5473,6728,6719
2017-11-26 02:00:00,2017-11-26 02:00:20,smtp,10.7.133.16,25,10.50.50.37,4321,4481,4801
2017-11-26 02:00:00,2017-11-26 02:00:20,smtp,10.7.133.16,25,10.50.50.46,4682,4506,4311
2017-11-26 02:00:00,2017-11-26 02:00:10,smtp,10.7.133.17,25,10.50.50.44,4596,5811,6237
2017-11-26 02:00:11,2017-11-26 02:00:15,ssh,10.7.133.21,22,10.50.50.26,4711,4504,592
2017-11-26 02:00:12,2017-11-26 02:00:17,ssh,10.7.133.16,22,10.50.50.46,4682,6553,4014
2017-11-26 02:00:13,2017-11-26 02:00:13,ssh,10.7.133.16,22,10.50.50.46,4682,7373,3542
2017-11-26 02:00:16,2017-11-26 02:00:18,ssh,10.7.133.21,22,10.50.50.26,4711,4830,722
2017-11-26 02:00:19,2017-11-26 02:00:23,ssh,10.7.133.21,22,10.50.50.26,4711,5053,973
2017-11-26 02:00:19,2017-11-26 02:00:21,ssh,10.7.133.21,22,10.50.50.26,4711,4846,495
2017-11-26 02:00:21,2017-11-26 02:00:22,ssh,10.7.133.17,22,10.50.50.44,4596,6279,2821
2017-11-26 02:00:22,2017-11-26 02:00:26,ssh,10.7.133.16,22,10.50.50.37,4321,5011,494
2017-11-26 02:00:22,2017-11-26 02:00:23,ssh,10.7.133.17,22,10.50.50.44,4596,6228,3846
2017-11-26 02:00:22,2017-11-26 02:00:24,ssh,10.7.133.17,22,10.50.50.44,4596,4379,631
2017-11-26 02:00:23,2017-11-26 02:00:26,ssh,10.7.133.21,22,10.50.50.26,4711,7426,3563
2017-11-26 02:00:24,2017-11-26 02:00:28,ssh,10.7.133.17,22,10.50.50.44,4596,5929,3794
2017-11-26 02:00:24,2017-11-26 02:00:24,ssh,10.7.133.19,22,10.50.50.31,5473,7759,3023
2017-11-26 02:00:25,2017-11-26 02:00:28,ssh,10.7.133.21,22,10.50.50.26,4711,4135,232
2017-11-26 02:00:26,2017-11-26 02:00:27,ssh,10.7.133.16,22,10.50.50.37,4321,4630,3572
2017-11-26 02:00:27,2017-11-26 02:00:31,ssh,10.7.133.17,22,10.50.50.44,4596,7949,1841
2017-11-26 02:00:29,2017-11-26 02:00:32,ssh,10.7.133.16,22,10.50.50.37,4321,4834,2816
2017-11-26 02:00:30,2017-11-26 02:00:34,ssh,10.7.133.16,22,10.50.50.37,4321,5674,3676
2017-11-26 02:00:30,2017-11-26 02:00:35,ssh,10.7.133.16,22,10.50.50.37,4321,4551,3094
2017-11-26 07:14:40,2017-11-26 07:14:50,mongodb,10.50.50.29,8005,10.64.105.120,2160,6122,150005814
2017-11-26 07:14:40,2017-11-26 07:14:50,mongodb,10.50.50.29,8005,10.64.105.120,2160,4617,3301
2017-11-26 07:14:50,2017-11-26 07:15:00,ssh,183.131.24.41,22,10.50.50.29,5831,60005232,1962
2017-11-26 07:15:00,2017-11-26 07:15:10,ssh,219.216.128.25,22,10.50.50.29,5710,20007906,2697
2017-11-26 07:15:10,2017-11-26 07:15:20,mongodb,10.50.50.29,8005,10.64.105.120,2160,9240,240003583
2017-11-26 07:39:07,2017-11-26 07:39:17,mongodb,10.50.50.29,8005,10.64.105.120,2160,210002260,7759
2017-11-26 07:39:17,2017-11-26 07:39:27,mongodb,10.50.50.29,8005,10.64.105.120,2160,5919,240005412
2017-11-26 07:51:03,2017-11-26 07:51:13,ssh,219.216.128.25,22,10.7.133.18,5053,160005367,8547
2017-11-26 07:51:03,2017-11-26 07:51:13,sftp,10.7.133.18,22,10.64.105.36,1869,4497,2341
2017-11-26 07:51:13,2017-11-26 07:51:23,sftp,10.7.133.18,22,10.64.105.36,1869,6660,120007292
2017-11-26 07:51:23,2017-11-26 07:51:33,sftp,10.7.133.18,22,10.64.105.36,1869,8526,120004434
2017-11-26 07:51:33,2017-11-26 07:51:43,sftp,10.7.133.18,22,10.64.105.36,1869,4171,210003622
2017-11-26 08:10:09,2017-11-26 08:10:19,ftp,10.50.50.28,21,10.64.105.213,1903,4066,3884
2017-11-26 08:10:30,2017-11-26 08:10:40,ftp,10.7.133.15,21,10.64.105.120,2160,4244,30008581
2017-11-26 08:10:30,2017-11-26 08:10:40,ftp,10.7.133.15,21,10.64.105.120,2160,972,9126
2017-11-26 08:10:40,2017-11-26 08:10:50,ssh,112.124.39.54,22,10.7.133.15,5054,20002967,5963
2017-11-26 08:22:35,2017-11-26 08:22:45,mysql,10.50.50.26,4443,10.64.105.110,2155,158,2599
2017-11-26 08:27:18,2017-11-26 08:27:28,ftp,10.7.133.15,21,10.64.105.36,1869,237,90005596
2017-11-26 08:27:18,2017-11-26 08:27:28,ftp,10.7.133.15,21,10.64.105.36,1869,1471,358
2017-11-26 08:27:28,2017-11-26 08:27:38,ssh,219.216.128.25,22,10.7.133.15,5361,8348,160008986
2017-11-26 08:35:53,2017-11-26 08:36:03,sftp,10.50.50.26,22,10.64.105.62,1863,4432,110
2017-11-26 08:38:58,2017-11-26 08:39:08,mongodb,10.50.50.28,8005,10.64.105.213,1903,240000604,5491
2017-11-26 08:39:08,2017-11-26 08:39:18,ssh,137.254.60.6,22,10.50.50.28,5659,120004822,3001
2017-11-26 08:42:09,2017-11-26 08:42:19,ssh,219.216.128.25,22,10.7.133.15,5935,120005304,7809
2017-11-26 08:42:09,2017-11-26 08:42:19,ftp,10.7.133.15,21,10.64.105.120,2160,2635,7625
2017-11-26 08:42:19,2017-11-26 08:42:29,ftp,10.7.133.15,21,10.64.105.120,2160,1145,30004030
2017-11-26 08:42:48,2017-11-26 08:42:58,ssh,140.211.11.105,22,10.50.50.29,5193,120002395,2935
2017-11-26 08:42:48,2017-11-26 08:42:58,mysql,10.50.50.29,4443,10.64.105.127,2387,4469,9261
2017-11-26 08:42:58,2017-11-26 08:43:08,mysql,10.50.50.29,4443,10.64.105.127,2387,5993,30003440
2017-11-26 08:44:31,2017-11-26 08:44:41,tds,10.50.50.46,54238,10.64.105.221,2216,1234,7190
2017-11-26 08:44:31,2017-11-26 08:44:41,tds,10.50.50.46,54238,10.64.105.221,2216,5447,150004701
2017-11-26 08:44:41,2017-11-26 08:44:51,tds,10.50.50.46,54238,10.64.105.221,2216,1930,210002799
2017-11-26 08:51:45,2017-11-26 08:51:55,postgresql,10.50.50.41,5432,10.64.105.24,1831,304,4876
2017-11-26 08:54:06,2017-11-26 08:54:16,mysql,10.50.50.46,4443,10.64.105.110,2155,292,3150
2017-11-26 08:59:43,2017-11-26 08:59:53,ssh,10.50.50.29,22,10.64.105.28,1831,2170,3313
2017-11-26 08:59:43,2017-11-26 08:59:53,ssh,219.216.128.25,22,10.50.50.29,5479,1771,140004921
2017-11-26 08:59:53,2017-11-26 09:00:03,ssh,219.216.128.25,22,10.50.50.29,5552,3272,20002228
2017-11-26 09:00:02,2017-11-26 09:00:33,http,10.5.71.60,443,10.64.105.15,1783,3938,2515407
2017-11-26 09:00:03,2017-11-26 09:00:13,ssh,10.50.50.29,22,10.64.105.28,1831,240001640,6250
2017-11-26 09:00:11,2017-11-26 09:00:16,http,10.5.71.60,443,10.64.105.15,1786,1044,110859
2017-11-26 09:00:34,2017-11-26 09:00:38,http,220.181.112.244,443,10.64.105.215,2116,4185,232817
2017-11-26 09:00:55,2017-11-26 09:01:49,http,220.181.112.244,443,10.64.105.215,2125,327,666965
2017-11-26 09:01:05,2017-11-26 09:02:04,http,220.181.112.244,443,10.64.105.215,2121,57,3385242
2017-11-26 09:01:16,2017-11-26 09:01:32,http,10.5.71.60,443,10.64.105.15,1791,9701,597117
2017-11-26 09:01:39,2017-11-26 09:02:30,http,10.5.71.60,443,10.64.105.15,1805,3,1220972
2017-11-26 09:01:44,2017-11-26 09:02:20,http,10.5.71.60,443,10.64.105.15,1800,4307,1016383
2017-11-26 09:02:32,2017-11-26 09:02:41,http,10.5.71.60,443,10.64.105.15,1803,137,1248386
2017-11-26 09:02:59,2017-11-26 09:03:32,http,220.181.112.244,443,10.64.105.215,2129,5470,1391110
2017-11-26 09:03:44,2017-11-26 09:03:54,ssh,54.165.59.50,22,10.50.50.29,5110,9817,20006694
2017-11-26 09:03:44,2017-11-26 09:03:54,tds,10.50.50.29,54238,10.64.105.36,1869,1163,1433
2017-11-26 09:03:49,2017-11-26 09:04:45,http,10.5.71.60,443,10.64.105.90,1719,1615,272692
2017-11-26 09:04:17,2017-11-26 09:04:44,http,10.5.71.60,443,10.64.105.90,1747,246,8210979
2017-11-26 09:04:31,2017-11-26 09:04:51,http,10.5.71.60,443,10.64.105.90,1726,34362,2631692
2017-11-26 09:04:32,2017-11-26 09:04:54,http,10.5.71.60,443,10.64.105.90,1849,2005,844813
2017-11-26 09:04:54,2017-11-26 09:05:25,http,10.5.71.60,443,10.64.105.90,1778,3421,1514504
2017-11-26 09:05:13,2017-11-26 09:06:10,http,10.5.71.60,443,10.64.105.90,1820,19082,7470793
2017-11-26 09:05:13,2017-11-26 09:05:38,http,10.5.71.60,443,10.64.105.88,1722,10844,126320
2017-11-26 09:05:18,2017-11-26 09:05:46,http,10.5.71.60,443,10.64.105.88,1753,5687,8331117
2017-11-26 09:05:21,2017-11-26 09:05:59,http,10.5.71.60,443,10.64.105.8,2056,41487,2850441
2017-11-26 09:05:29,2017-11-26 09:06:15,http,10.5.71.60,443,10.64.105.81,1846,727,655087
2017-11-26 09:05:36,2017-11-26 09:06:01,http,10.5.71.60,443,10.64.105.29,2128,23628,140829
2017-11-26 09:05:54,2017-11-26 09:06:44,http,10.5.71.60,443,10.64.105.29,2144,74897,2970565
2017-11-26 09:05:55,2017-11-26 09:06:23,http,106.11.47.20,443,10.64.105.231,2402,6337,344894
2017-11-26 09:05:57,2017-11-26 09:06:26,http,10.5.71.60,443,10.64.105.8,2113,55729,5310766
2017-11-26 09:06:00,2017-11-26 09:06:08,http,10.5.71.60,443,10.64.105.29,2129,902,1470816
2017-11-26 09:06:01,2017-11-26 09:06:50,http,10.5.71.60,443,10.64.105.29,2152,59221,2034074
2017-11-26 09:06:14,2017-11-26 09:06:52,http,10.5.71.60,443,10.64.105.8,2080,9207,61651
2017-11-26 09:06:14,2017-11-26 09:06:32,http,10.5.71.60,443,10.64.105.8,2058,20431,304765
2017-11-26 09:06:21,2017-11-26 09:06:24,http,106.11.47.20,443,10.64.105.231,2445,411,351982
2017-11-26 09:06:38,2017-11-26 09:07:12,http,106.11.47.20,443,10.64.105.231,2424,1337,376415
2017-11-26 09:06:44,2017-11-26 09:06:54,tds,10.7.133.18,54238,10.64.105.127,2387,2300,7405
2017-11-26 09:06:44,2017-11-26 09:06:54,ssh,219.216.128.25,22,10.7.133.18,5337,100002923,6379
2017-11-26 09:06:50,2017-11-26 09:06:50,http,10.5.71.60,443,10.64.105.88,1758,12674,254942
2017-11-26 09:06:50,2017-11-26 09:07:00,mongodb,10.50.50.26,8005,10.64.105.213,1903,1045,114
2017-11-26 09:06:54,2017-11-26 09:07:04,tds,10.7.133.18,54238,10.64.105.127,2387,90009541,5501
2017-11-26 09:06:58,2017-11-26 09:07:13,http,10.5.71.60,443,10.64.105.88,1763,14228,3829839
2017-11-26 09:07:15,2017-11-26 09:07:27,http,106.11.47.20,443,10.64.105.231,2443,18208,119484
2017-11-26 09:07:25,2017-11-26 09:07:36,http,10.5.71.60,443,10.64.105.90,1796,0,2179079
2017-11-26 09:07:42,2017-11-26 09:08:03,http,106.11.47.20,443,10.64.105.231,2473,55737,136137
2017-11-26 09:07:49,2017-11-26 09:08:37,http,10.5.71.60,443,10.64.106.30,1635,26156,1603018
2017-11-26 09:07:54,2017-11-26 09:08:14,http,10.5.71.60,443,10.64.105.8,2097,4659,4578185
2017-11-26 09:07:59,2017-11-26 09:08:59,http,10.5.71.60,443,10.64.105.29,2147,11291,239
2017-11-26 09:08:04,2017-11-26 09:08:51,http,10.5.71.60,443,10.64.105.8,2082,695,233124
2017-11-26 09:08:31,2017-11-26 09:09:31,http,10.5.71.60,443,10.64.106.30,1643,30578,145622
2017-11-26 09:08:39,2017-11-26 09:09:27,http,10.5.71.60,443,10.64.105.8,2087,345,182521
2017-11-26 09:08:41,2017-11-26 09:09:10,http,106.11.47.20,443,10.64.105.231,2498,6257,1233801
2017-11-26 09:08:57,2017-11-26 09:09:21,http,10.5.71.60,443,10.64.105.243,1766,44661,20545
2017-11-26 09:09:03,2017-11-26 09:09:10,http,10.5.71.60,443,10.64.105.8,2136,15430,2568164
2017-11-26 09:09:03,2017-11-26 09:09:24,http,106.11.47.20,443,10.64.105.231,2506,3653,2401899
2017-11-26 09:09:05,2017-11-26 09:09:08,http,140.205.62.20,80,10.64.105.71,1911,12867,1913628
2017-11-26 09:09:05,2017-11-26 09:09:29,http,10.5.71.60,443,10.64.105.243,1787,32749,130005
2017-11-26 09:09:11,2017-11-26 09:09:21,ssh,219.216.128.25,22,10.50.50.43,5646,80005239,5642
2017-11-26 09:09:11,2017-11-26 09:09:21,mongodb,10.50.50.43,8005,10.64.105.62,1863,3159,2503
2017-11-26 09:09:11,2017-11-26 09:09:14,http,10.5.71.60,443,10.64.105.243,1804,46095,463627
2017-11-26 09:09:21,2017-11-26 09:09:31,mongodb,10.50.50.43,8005,10.64.105.62,1863,6118,240000508
2017-11-26 09:09:31,2017-11-26 09:09:41,mongodb,10.50.50.43,8005,10.64.105.62,1863,6922,180008948
2017-11-26 09:09:37,2017-11-26 09:10:27,http,10.5.71.60,443,10.64.105.90,1878,24717,82556
2017-11-26 09:09:50,2017-11-26 09:10:13,http,140.205.62.20,80,10.64.105.71,1915,13847,2614130
2017-11-26 09:10:38,2017-11-26 09:11:16,http,10.5.71.60,443,10.64.105.243,1844,4808,8236332
2017-11-26 09:11:07,2017-11-26 09:11:46,http,10.5.71.60,443,10.64.105.8,2111,24424,1808480
2017-11-26 09:11:07,2017-11-26 09:11:45,http,106.11.47.20,443,10.64.105.231,2508,5256,4613791
2017-11-26 09:11:16,2017-11-26 09:11:26,http,10.5.71.60,443,10.64.105.243,1850,31,995188
2017-11-26 09:11:45,2017-11-26 09:12:10,http,10.5.71.60,443,10.64.105.243,1928,4871,3577987
2017-11-26 09:13:10,2017-11-26 09:13:16,http,10.5.71.60,443,10.64.105.243,1881,3172,4334214
2017-11-26 09:13:10,2017-11-26 09:13:24,http,202.108.12.40,443,10.64.106.23,1921,5858,286562
2017-11-26 09:13:10,2017-11-26 09:13:32,http,10.5.71.60,443,10.64.105.8,2139,11682,3232335
2017-11-26 09:13:14,2017-11-26 09:13:24,mysql,10.50.50.28,4443,10.64.105.120,2160,3130,2759
2017-11-26 09:13:14,2017-11-26 09:13:24,mysql,10.50.50.28,4443,10.64.105.120,2160,240006455,4803
2017-11-26 09:13:16,2017-11-26 09:13:26,http,202.108.12.40,443,10.64.106.23,1923,9310,70711
2017-11-26 09:13:23,2017-11-26 09:13:33,postgresql,10.50.50.26,5432,10.64.105.221,2216,1016,954
2017-11-26 09:13:23,2017-11-26 09:13:33,postgresql,10.50.50.26,5432,10.64.105.221,2216,8463,90009568
2017-11-26 09:13:24,2017-11-26 09:13:34,mysql,10.50.50.28,4443,10.64.105.120,2160,30002742,8014
2017-11-26 09:13:32,2017-11-26 09:14:30,http,10.5.71.60,443,10.64.105.243,1924,39688,5778899
2017-11-26 09:13:34,2017-11-26 09:13:44,mysql,10.50.50.28,4443,10.64.105.120,2160,90004328,2076
2017-11-26 09:13:38,2017-11-26 09:13:58,http,10.5.71.60,443,10.64.105.243,1902,1413,883776
2017-11-26 09:13:59,2017-11-26 09:14:09,ftp,10.50.50.37,21,10.64.105.24,1831,60000475,8805
2017-11-26 09:13:59,2017-11-26 09:14:09,ftp,10.50.50.37,21,10.64.105.24,1831,784,4708
2017-11-26 09:14:04,2017-11-26 09:14:42,http,218.75.225.192,80,10.64.105.248,2419,26059,125
2017-11-26 09:14:09,2017-11-26 09:14:19,ftp,10.50.50.37,21,10.64.105.24,1831,30000705,8231
2017-11-26 09:14:18,2017-11-26 09:14:42,http,218.75.225.192,80,10.64.105.248,2466,8930,153631
2017-11-26 09:14:56,2017-11-26 09:15:21,http,218.75.225.192,80,10.64.105.248,2449,1581,23742
2017-11-26 09:15:55,2017-11-26 09:15:58,http,218.75.225.192,80,10.64.105.248,2452,3948,2829190
2017-11-26 09:16:14,2017-11-26 09:16:29,http,10.5.71.60,443,10.64.105.243,1940,44291,2755704
2017-11-26 09:18:11,2017-11-26 09:18:48,http,10.5.71.60,443,10.64.105.83,2386,86,1896905
2017-11-26 09:18:44,2017-11-26 09:18:52,http,10.5.71.60,443,10.64.105.12,1708,30929,1125056
2017-11-26 09:18:59,2017-11-26 09:19:54,http,10.5.71.60,443,10.64.105.12,1720,1418,4607762
2017-11-26 09:19:00,2017-11-26 09:19:54,http,10.5.71.60,443,10.64.105.83,2402,83305,230497
2017-11-26 09:19:18,2017-11-26 09:19:59,http,10.5.71.60,443,10.64.105.12,1759,108,8342495
2017-11-26 09:19:28,2017-11-26 09:19:56,http,10.5.71.60,443,10.64.105.83,2440,6537,1038994
2017-11-26 09:19:35,2017-11-26 09:20:16,http,10.5.71.60,443,10.64.105.83,2494,28929,198144
2017-11-26 09:20:18,2017-11-26 09:37:08,smtp,10.5.71.60,25,10.116.216.71,1565,155,193
2017-11-26 09:20:35,2017-11-26 09:20:48,http,10.5.71.60,443,10.64.105.12,1758,16950,214072
2017-11-26 09:20:47,2017-11-26 09:21:13,http,10.5.71.60,443,10.64.105.83,2455,50429,898525
2017-11-26 09:20:50,2017-11-26 09:21:36,http,10.5.71.60,443,10.64.105.12,1815,21449,434714
2017-11-26 09:21:07,2017-11-26 09:21:31,http,10.5.71.60,443,10.64.105.12,1776,10086,3025353
2017-11-26 09:21:31,2017-11-26 09:22:02,http,10.5.71.60,443,10.64.105.12,1830,9311,2235891
2017-11-26 09:22:19,2017-11-26 09:22:49,http,10.5.71.60,443,10.64.105.12,1763,3453,3290931
2017-11-26 09:22:32,2017-11-26 09:22:59,http,10.5.71.60,443,10.64.105.12,1820,437,10023
2017-11-26 09:22:35,2017-11-26 09:35:17,smtp,10.5.71.60,25,10.116.216.71,2283,102,296
2017-11-26 09:22:53,2017-11-26 09:33:44,smtp,10.5.71.60,25,60.182.126.242,52382,132,284
2017-11-26 09:23:43,2017-11-26 09:23:53,ssh,50.232.28.10,22,10.50.50.40,5617,80005103,2286
2017-11-26 09:23:43,2017-11-26 09:23:53,ftp,10.50.50.40,21,10.64.105.28,1831,1490,3163
2017-11-26 09:24:22,2017-11-26 09:24:32,ssh,10.7.133.18,22,10.64.105.36,1869,8083,150009245
2017-11-26 09:24:22,2017-11-26 09:24:32,ssh,10.7.133.18,22,10.64.105.36,1869,4864,5475
2017-11-26 09:24:22,2017-11-26 09:25:20,http,10.5.71.60,443,10.64.105.12,1803,5195,683535
2017-11-26 09:24:32,2017-11-26 09:24:42,ssh,104.76.16.208,22,10.7.133.18,5838,7475,140000340
2017-11-26 09:24:42,2017-11-26 09:24:52,ssh,59.111.0.251,22,10.7.133.18,5982,54,40000211
2017-11-26 09:24:46,2017-11-26 09:38:41,smtp,10.5.71.60,25,10.64.105.89,2384,130,259
2017-11-26 09:28:10,2017-11-26 09:38:20,smtp,10.5.71.60,25,10.116.216.71,2561,199,224
2017-11-26 09:28:14,2017-11-26 09:38:54,smtp,10.5.71.60,25,10.116.216.71,2146,139,182
2017-11-26 09:28:52,2017-11-26 09:40:03,smtp,10.5.71.60,25,10.116.216.71,2219,115,227
2017-11-26 09:28:57,2017-11-26 09:29:07,mysql,10.7.133.20,4443,10.64.105.127,2387,2214,4522
2017-11-26 09:29:33,2017-11-26 09:41:49,smtp,10.5.71.60,25,219.142.78.230,1662,172,263
2017-11-26 09:29:52,2017-11-26 09:43:19,smtp,10.5.71.60,25,10.64.105.198,1962,189,398
2017-11-26 09:32:59,2017-11-26 09:33:09,ssh,219.216.128.25,22,10.50.50.29,5271,120001131,5358
2017-11-26 09:32:59,2017-11-26 09:33:09,tds,10.50.50.29,54238,10.64.105.110,2155,3224,8926
2017-11-26 09:33:09,2017-11-26 09:33:19,tds,10.50.50.29,54238,10.64.105.110,2155,2292,180002229
