time,sip,sport,dip,dport,host
2017-11-26 09:00:02,10.64.105.15,1783,10.5.71.60,443,email.hightech.com
2017-11-26 09:00:34,10.64.105.215,2116,220.181.112.244,443,www.baidu.com
2017-11-26 09:03:49,10.64.105.90,1719,10.5.71.60,443,email.hightech.com
2017-11-26 09:05:13,10.64.105.88,1722,10.5.71.60,443,email.hightech.com
2017-11-26 09:05:21,10.64.105.8,2056,10.5.71.60,443,email.hightech.com
2017-11-26 09:05:29,10.64.105.81,1846,10.5.71.60,443,email.hightech.com
2017-11-26 09:05:36,10.64.105.29,2128,10.5.71.60,443,email.hightech.com
2017-11-26 09:05:55,10.64.105.231,2402,106.11.47.20,443,www.tudou.com
2017-11-26 09:07:49,10.64.106.30,1635,10.5.71.60,443,email.hightech.com
2017-11-26 09:08:57,10.64.105.243,1766,10.5.71.60,443,email.hightech.com
2017-11-26 09:09:05,10.64.105.71,1911,140.205.62.20,80,ai.taobao.com
2017-11-26 09:13:10,10.64.106.23,1921,202.108.12.40,443,nba.tom.com
2017-11-26 09:14:04,10.64.105.248,2419,218.75.225.192,80,www.douyu.com
2017-11-26 09:18:11,10.64.105.83,2386,10.5.71.60,443,email.hightech.com
2017-11-26 09:18:44,10.64.105.12,1708,10.5.71.60,443,email.hightech.com
2017-11-26 10:01:47,10.64.105.28,1840,124.172.144.37,8080,www.51myit.com
2017-11-26 10:07:04,10.64.106.30,1778,111.206.81.174,80,www.so.com
2017-11-26 10:07:38,10.64.105.4,4394, 121.40.227.74,80,http://www.jobeast.com/
2017-11-26 10:09:35,10.64.105.24,1832,10.50.50.28,443,lib01.hightech.com
2017-11-26 10:10:04,10.64.105.221,2228,122.228.250.89,443,www.hupu.com
2017-11-26 10:10:28,10.64.105.213,1904,10.63.120.70,443,OA.hightech.com
2017-11-26 10:10:41,10.64.105.15,1975,10.63.120.70,443,OA.hightech.com
2017-11-26 10:13:07,10.64.105.22,1969,10.63.120.70,443,OA.hightech.com
2017-11-26 10:13:57,10.64.105.71,2138,10.5.71.60,443,email.hightech.com
2017-11-26 10:14:21,10.64.105.62,1889,10.50.50.29,443,lib02.hightech.com
2017-11-26 10:14:30,10.64.105.248,2701,218.75.225.192,80,www.douyu.com
2017-11-26 10:15:15,10.64.105.198,2163,106.11.42.142,443,ju.taobao.com
2017-11-26 10:16:19,10.64.105.243,2336,220.181.112.244,443,www.baidu.com
2017-11-26 10:16:50,10.64.105.36,1902,10.5.71.60,443,email.hightech.com
2017-11-26 10:17:00,10.64.105.194,2384,10.5.71.60,443,email.hightech.com
2017-11-26 10:17:05,10.64.105.120,2167,10.7.133.15,80,
2017-11-26 10:18:13,10.64.105.110,2163,10.63.120.70,443,OA.hightech.com
2017-11-26 10:18:53,10.64.105.235,2834,10.5.71.60,443,email.hightech.com
2017-11-26 10:19:07,10.64.105.127,2388,10.5.71.60,443,email.hightech.com
2017-11-26 10:19:44,10.64.105.88,2244,14.215.138.36,8080,www.qidian.com
2017-11-26 10:20:04,10.64.105.219,4732, 223.4.235.135,80,http://www.job100.com/
2017-11-26 10:20:11,10.64.105.4,4084, 218.16.124.68,80,http://www.jobcn.com/
2017-11-26 10:20:46,10.64.105.219,4382,61.144.244.18,80,www.cjol.com
2017-11-26 10:23:48,10.64.105.235,2558,10.5.71.60,443,email.hightech.com
2017-11-26 10:25:10,10.64.105.89,2659,10.5.71.60,443,email.hightech.com
2017-11-26 10:27:33,10.64.105.12,1942,140.205.62.20,80,ai.taobao.com
2017-11-26 10:29:29,10.64.106.30,1903,10.63.120.70,443,OA.hightech.com
2017-11-26 10:30:44,10.64.105.89,2447,103.218.240.141,443,cn.babyhaven.com
2017-11-26 10:30:45,10.64.105.22,1874,111.206.81.174,80,www.so.com
2017-11-26 10:35:01,10.64.105.81,2194,10.5.71.60,443,email.hightech.com
2017-11-26 10:35:39,10.64.105.198,1935,61.156.15.28,80,www.3366.com
2017-11-26 10:37:55,10.64.105.8,2175,106.39.169.232,8080,union-click.jd.com
2017-11-26 10:38:16,10.64.106.16,2283,10.5.71.60,443,email.hightech.com
2017-11-26 10:40:42,10.64.105.90,2203,106.11.42.142,443,ju.taobao.com
2017-11-26 10:43:00,10.64.105.243,2222,220.181.112.244,443,www.baidu.com
2017-11-26 10:43:14,10.64.105.90,2278,180.96.29.96,443,www.xici.net
2017-11-26 10:44:16,10.64.105.90,1891,114.80.130.61,443,club.sohu.com
2017-11-26 10:44:57,10.64.105.88,2072,10.5.71.60,443,email.hightech.com
2017-11-26 10:45:21,10.64.105.205,1766,10.5.71.60,443,email.hightech.com
2017-11-26 10:46:00,10.64.105.231,2723,106.11.42.142,443,ju.taobao.com
2017-11-26 10:47:14,10.64.105.4,4645, 106.3.131.82,80,http://www.jiaoshi.com.cn/
2017-11-26 10:47:31,10.64.105.198,2192,10.5.71.60,443,email.hightech.com
2017-11-26 10:48:14,10.64.105.235,1944,106.11.42.142,443,ju.taobao.com
2017-11-26 10:48:41,10.64.106.23,2057,10.5.71.60,443,email.hightech.com
2017-11-26 10:49:51,10.64.105.8,2690,10.5.71.60,443,email.hightech.com
2017-11-26 10:50:07,10.64.105.198,2213,10.5.71.60,443,email.hightech.com
2017-11-26 10:50:35,10.64.105.29,2258,10.63.120.70,443,OA.hightech.com
2017-11-26 10:50:54,10.64.105.231,2984,10.5.71.60,443,email.hightech.com
2017-11-26 10:51:33,10.64.105.215,2259,10.5.71.60,443,email.hightech.com
2017-11-26 10:51:58,10.64.105.8,2345,27.148.164.23,443,www.icbc.com.cn
2017-11-26 10:53:46,10.64.105.89,2885,60.28.217.136,443,www.0-6.com
2017-11-26 10:53:50,10.64.105.15,2073,183.131.192.83,80,ent.163.com
2017-11-26 10:54:15,10.64.105.127,2727,10.5.71.60,443,email.hightech.com
2017-11-26 10:54:20,10.64.105.89,2684,10.5.71.60,443,email.hightech.com
2017-11-26 10:54:39,10.64.105.248,3044,10.5.71.60,443,email.hightech.com
2017-11-26 10:54:54,10.64.105.12,2171,106.39.169.232,8080,union-click.jd.com
2017-11-26 10:55:05,10.64.105.198,2048,10.5.71.60,443,email.hightech.com
2017-11-26 10:55:59,10.64.105.4,4635, 115.182.7.241,80,http://www.shoudurc.com/
2017-11-26 10:56:19,10.64.105.231,2666,10.63.120.70,443,OA.hightech.com
2017-11-26 10:56:31,10.64.105.88,2115,123.59.190.212,8080,www.leju.com
