proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.17,22,10.50.50.44,3804,success,2017-11-15 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,5432,success,2017-11-15 02:00:00,root
ssh,10.7.133.16,22,10.50.50.46,4482,success,2017-11-15 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,5760,success,2017-11-15 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,4828,success,2017-11-15 02:00:00,root
mongodb,10.50.50.29,8005,10.64.105.160,1719,success,2017-11-15 07:11:43,1397
sftp,10.50.50.49,22,10.64.105.242,1768,success,2017-11-15 07:15:17,1140
postgresql,10.50.50.28,5432,10.64.105.75,1705,success,2017-11-15 07:16:31,1359
tds,10.50.50.28,54238,10.64.105.120,1695,success,2017-11-15 07:16:38,1102
ftp,10.7.133.16,21,10.64.105.13,1590,success,2017-11-15 07:17:11,1493
sftp,10.50.50.43,22,10.64.105.112,2326,success,2017-11-15 07:28:13,1456
mysql,10.50.50.26,4443,10.64.105.107,2407,success,2017-11-15 07:30:24,1145
tds,10.50.50.38,54238,10.64.105.116,1839,success,2017-11-15 07:30:55,1204
sftp,10.50.50.28,22,10.64.105.54,2100,success,2017-11-15 07:39:16,1257
sftp,10.7.133.16,22,10.64.105.164,1999,success,2017-11-15 07:40:51,1167
mongodb,10.50.50.28,8005,10.64.105.203,1850,error,2017-11-15 07:41:24,1417
postgresql,10.50.50.26,5432,10.64.106.34,2185,success,2017-11-15 07:44:39,1210
tds,10.50.50.29,54238,10.64.105.75,1705,success,2017-11-15 07:45:52,1359
tds,10.50.50.28,54238,10.64.105.137,1568,success,2017-11-15 07:47:07,1224
ftp,10.50.50.29,21,10.64.105.120,1695,success,2017-11-15 07:49:10,1102
postgresql,10.50.50.33,5432,10.64.105.9,2305,success,2017-11-15 07:49:17,1307
ftp,10.50.50.26,21,10.64.105.242,1768,success,2017-11-15 07:49:19,1140
tds,10.50.50.29,54238,10.64.105.160,1719,success,2017-11-15 07:49:23,1397
mysql,10.50.50.26,4443,10.64.105.36,2144,error,2017-11-15 07:55:41,1220
mysql,10.50.50.29,4443,10.64.105.13,1590,success,2017-11-15 07:55:43,1493
mongodb,10.7.133.16,8005,10.64.106.45,1619,success,2017-11-15 07:57:06,1484
postgresql,10.50.50.40,5432,10.64.105.58,1674,success,2017-11-15 07:57:33,1457
mongodb,10.50.50.29,8005,10.64.105.72,1656,success,2017-11-15 07:59:02,1286
mongodb,10.50.50.28,8005,10.64.105.183,1626,error,2017-11-15 07:59:07,1254
postgresql,10.50.50.43,5432,10.64.106.20,1884,success,2017-11-15 07:59:24,1459
