file_name,line_num
a.scarafile.csv,2241
a.scarafile.csv,2244
a.scarafile.csv,2469
a.scarafile.csv,2470
a.scarafile.csv,2479
a.scarafile.csv,2485
a.scarafile.csv,5013
a.scarafile.csv,5023
a.scarafile.csv,5042
a.scarafile.csv,5043
a.scarafile.csv,5372
a.scarafile.csv,5373
a.scarafile.csv,5767
a.scarafile.csv,5768
a.scarafile.csv,6906
a.scarafile.csv,7659
a.scarafile.csv,7680
a.scarafile.csv,7683
a.scarafile.csv,7684
a.scarafile.csv,8158
a.scarafile.csv,8159
a.scarafile.csv,9243
a.scarafile.csv,9256
a.scarafile.csv,9278
a.scarafile.csv,9279
a.scarafile.csv,9720
a.scarafile.csv,9721
a.scarafile.csv,11022
a.scarafile.csv,11023
a.scarafile.csv,11024
a.scarafile.csv,11025
a.scarafile.csv,11026
a.scarafile.csv,11027
a.scarafile.csv,11028
a.scarafile.csv,11029
a.scarafile.csv,11039
a.scarafile.csv,11060
a.scarafile.csv,11061
a.scarafile.csv,11356
a.scarafile.csv,11517
a.scarafile.csv,11518
a.scarafile.csv,11532
a.scarafile.csv,11535
a.scarafile.csv,11537
a.scarafile.csv,11539
a.scarafile.csv,11683
a.scarafile.csv,11788
a.scarafile.csv,11791
a.scarafile.csv,11792
a.scarafile.csv,11797
a.scarafile.csv,11799
a.scarafile.csv,11809
a.scarafile.csv,32801
a.scarafile.csv,33076
a.scarafile.csv,33078
a.scarafile.csv,33369
a.scarafile.csv,33372
a.scarafile.csv,33374
a.scarafile.csv,33490
a.scarafile.csv,33493
a.scarafile.csv,33494
a.scarafile.csv,33495
a.scarafile.csv,33550
a.scarafile.csv,33598
a.scarafile.csv,33599
a.scarafile.csv,33600
d.milan.csv,18405
d.milan.csv,20215
d.milan.csv,20242
d.milan.csv,20478
d.milan.csv,20479
d.milan.csv,21142
d.milan.csv,21143
d.milan.csv,21160
d.milan.csv,21941
d.milan.csv,22030
d.milan.csv,22118
d.milan.csv,22147
d.milan.csv,22349
d.milan.csv,22352
d.milan.csv,22355
d.milan.csv,22357
d.milan.csv,22359
d.milan.csv,22361
d.milan.csv,22363
d.milan.csv,22814
d.milan.csv,23244
d.milan.csv,23248
d.milan.csv,65721
d.milan.csv,65723
d.milan.csv,65724
d.milan.csv,65726
d.milan.csv,65773
