file_name,line_num
a.capaldo.csv,17392
a.capaldo.csv,17414
a.capaldo.csv,17415
a.capaldo.csv,17428
a.scarafile.csv,48
a.scarafile.csv,51
a.scarafile.csv,307
a.scarafile.csv,402
a.scarafile.csv,751
a.scarafile.csv,1257
a.scarafile.csv,1335
a.scarafile.csv,1336
a.scarafile.csv,1420
a.scarafile.csv,1421
a.scarafile.csv,1591
a.scarafile.csv,1659
a.scarafile.csv,1846
a.scarafile.csv,1847
a.scarafile.csv,1848
a.scarafile.csv,1882
a.scarafile.csv,2050
a.scarafile.csv,2051
a.scarafile.csv,2052
a.scarafile.csv,2063
a.scarafile.csv,2064
a.scarafile.csv,2065
a.scarafile.csv,2066
a.scarafile.csv,2118
a.scarafile.csv,8643
a.scarafile.csv,9236
a.scarafile.csv,9237
a.scarafile.csv,12269
a.scarafile.csv,13768
a.scarafile.csv,13770
a.scarafile.csv,15479
a.scarafile.csv,15480
a.scarafile.csv,16469
a.scarafile.csv,16475
a.scarafile.csv,30052
a.scarafile.csv,30053
a.scarafile.csv,32029
a.scarafile.csv,32989
a.scarafile.csv,33781
a.scarafile.csv,34054
a.scarafile.csv,34741
a.scarafile.csv,35024
a.scarafile.csv,37789
a.scarafile.csv,37790
a.scarafile.csv,37937
a.scarafile.csv,38248
a.scarafile.csv,40998
a.velasco.csv,161
a.velasco.csv,162
a.velasco.csv,212
a.velasco.csv,213
a.velasco.csv,214
a.velasco.csv,215
a.velasco.csv,248
a.velasco.csv,249
a.velasco.csv,250
a.velasco.csv,251
a.velasco.csv,252
a.velasco.csv,316
a.velasco.csv,317
a.velasco.csv,322
a.velasco.csv,323
a.velasco.csv,325
a.velasco.csv,457
a.velasco.csv,458
a.velasco.csv,460
a.velasco.csv,481
a.velasco.csv,486
a.velasco.csv,487
a.velasco.csv,488
a.velasco.csv,489
a.velasco.csv,500
a.velasco.csv,504
a.velasco.csv,505
a.velasco.csv,541
a.velasco.csv,568
a.velasco.csv,569
a.velasco.csv,570
a.velasco.csv,576
a.velasco.csv,577
a.velasco.csv,583
a.velasco.csv,584
a.velasco.csv,608
a.velasco.csv,609
a.velasco.csv,610
a.velasco.csv,624
a.velasco.csv,672
a.velasco.csv,675
a.velasco.csv,678
a.velasco.csv,680
a.velasco.csv,681
a.velasco.csv,682
a.velasco.csv,683
a.velasco.csv,684
a.velasco.csv,685
a.velasco.csv,687
a.velasco.csv,688
a.velasco.csv,689
a.velasco.csv,691
a.velasco.csv,692
a.velasco.csv,693
a.velasco.csv,711
a.velasco.csv,742
a.velasco.csv,743
a.velasco.csv,744
a.velasco.csv,763
a.velasco.csv,777
a.velasco.csv,781
a.velasco.csv,784
a.velasco.csv,785
a.velasco.csv,789
a.velasco.csv,790
a.velasco.csv,791
a.velasco.csv,792
a.velasco.csv,795
a.velasco.csv,796
a.velasco.csv,805
a.velasco.csv,806
a.velasco.csv,807
a.velasco.csv,816
a.velasco.csv,825
