proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,3205,success,2017-11-16 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,5328,success,2017-11-16 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,2762,success,2017-11-16 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,4001,success,2017-11-16 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,4329,success,2017-11-16 02:00:00,root
ftp,10.50.50.26,21,10.64.105.160,1708,success,2017-11-16 07:07:30,1397
ftp,10.50.50.28,21,10.64.105.75,2517,success,2017-11-16 07:07:50,1359
ssh,10.50.50.26,22,10.64.105.120,2426,success,2017-11-16 07:14:47,1102
tds,10.50.50.29,54238,10.64.105.242,2441,success,2017-11-16 07:17:13,1140
ftp,10.50.50.29,21,10.64.105.107,2486,success,2017-11-16 07:21:50,1145
tds,10.50.50.26,54238,10.64.105.13,2129,success,2017-11-16 07:24:16,1493
mysql,10.50.50.29,4443,10.64.105.116,2488,success,2017-11-16 07:27:02,1204
ftp,10.50.50.29,21,10.64.105.112,2517,success,2017-11-16 07:28:40,1456
sftp,10.50.50.26,22,10.64.105.54,1942,success,2017-11-16 07:36:12,1257
sftp,10.50.50.26,22,10.64.105.120,2426,error,2017-11-16 07:38:21,1102
tds,10.50.50.28,54238,10.64.105.203,1613,success,2017-11-16 07:39:13,1417
postgresql,10.50.50.37,5432,10.64.106.34,2400,success,2017-11-16 07:39:44,1210
mysql,10.50.50.46,4443,10.64.105.160,1708,success,2017-11-16 07:41:59,1397
ssh,10.50.50.49,22,10.64.106.45,2227,success,2017-11-16 07:42:05,1484
ftp,10.50.50.43,21,10.64.105.164,1870,success,2017-11-16 07:43:38,1167
ftp,10.50.50.28,21,10.64.105.137,2303,success,2017-11-16 07:46:53,1224
postgresql,10.50.50.28,5432,10.64.105.116,2488,success,2017-11-16 07:47:55,1204
mysql,10.50.50.28,4443,10.64.105.72,2066,success,2017-11-16 07:49:24,1286
sftp,10.50.50.29,22,10.64.105.242,2441,error,2017-11-16 07:52:43,1140
tds,10.50.50.29,54238,10.64.105.107,2486,success,2017-11-16 07:52:48,1145
ftp,10.50.50.43,21,10.64.105.112,2517,success,2017-11-16 07:58:05,1456
mysql,10.7.133.15,4443,10.64.105.203,1613,success,2017-11-16 07:59:44,1417
mongodb,10.7.133.19,8005,10.64.106.20,1999,success,2017-11-16 08:00:05,1459
mysql,10.7.133.19,4443,10.64.105.54,1942,success,2017-11-16 08:00:14,1257
mongodb,10.50.50.26,8005,10.64.105.13,2129,error,2017-11-16 08:01:48,1493
mysql,10.50.50.26,4443,10.64.105.36,2379,success,2017-11-16 08:02:22,1220
mysql,10.50.50.43,4443,10.64.105.25,1742,success,2017-11-16 08:03:23,1154
ssh,10.50.50.28,22,10.64.105.120,2426,success,2017-11-16 08:04:39,1102
ftp,10.50.50.28,21,10.64.105.164,1870,success,2017-11-16 08:07:20,1167
ftp,10.7.133.20,21,10.64.105.249,1530,success,2017-11-16 08:07:21,1344
ssh,10.50.50.29,22,10.64.105.143,2472,success,2017-11-16 08:08:13,1142
sftp,10.50.50.43,22,10.64.105.210,2427,success,2017-11-16 08:12:26,1495
tds,10.50.50.26,54238,10.64.105.160,1708,success,2017-11-16 08:12:51,1397
mongodb,10.50.50.29,8005,10.64.105.161,1897,success,2017-11-16 08:12:58,1351
tds,10.50.50.26,54238,10.64.106.34,2400,success,2017-11-16 08:13:35,1210
sftp,10.50.50.29,22,10.64.105.70,2189,success,2017-11-16 08:13:53,1330
mongodb,10.50.50.29,8005,10.64.105.183,1596,success,2017-11-16 08:14:11,1254
postgresql,10.50.50.29,5432,10.64.105.77,1755,success,2017-11-16 08:14:45,1127
postgresql,10.50.50.26,5432,10.64.106.25,1611,success,2017-11-16 08:15:27,1296
mysql,10.50.50.29,4443,10.64.105.74,1707,success,2017-11-16 08:16:28,1486
ftp,10.50.50.40,21,10.64.105.80,1737,success,2017-11-16 08:16:44,1182
tds,10.50.50.28,54238,10.64.105.242,2441,success,2017-11-16 08:16:51,1140
sftp,10.50.50.26,22,10.64.105.137,2303,success,2017-11-16 08:17:13,1224
sftp,10.50.50.48,22,10.64.105.100,2126,success,2017-11-16 08:17:15,1345
sftp,10.50.50.28,22,10.64.105.250,2012,success,2017-11-16 08:17:30,1252
ftp,10.50.50.28,21,10.64.105.73,1821,success,2017-11-16 08:18:37,1151
mongodb,10.7.133.16,8005,10.64.105.72,2066,error,2017-11-16 08:19:26,1286
postgresql,10.50.50.29,5432,10.64.105.112,2517,success,2017-11-16 08:19:39,1456
tds,10.50.50.28,54238,10.64.105.213,2386,success,2017-11-16 08:19:47,1491
ssh,10.7.133.20,22,10.64.106.21,2302,success,2017-11-16 08:20:21,1449
sftp,10.50.50.29,22,10.64.105.129,2001,success,2017-11-16 08:20:23,1207
