id,day,checkin,checkout
1087,2017-11-16,0,0
1067,2017-11-16,0,0
1307,2017-11-16,0,0
1013,2017-11-16,0,0
1471,2017-11-16,0,0
1059,2017-11-16,0,0
1370,2017-11-16,2017-11-16 06:25:18,2017-11-16 18:24:44
1137,2017-11-16,2017-11-16 06:57:56,2017-11-16 18:08:53
1180,2017-11-16,2017-11-16 06:59:07,2017-11-16 17:36:52
1253,2017-11-16,2017-11-16 07:05:57,2017-11-16 17:27:08
1397,2017-11-16,2017-11-16 07:07:30,2017-11-16 18:11:52
1359,2017-11-16,2017-11-16 07:07:50,2017-11-16 19:01:16
1140,2017-11-16,2017-11-16 07:12:25,2017-11-16 21:25:43
1102,2017-11-16,2017-11-16 07:14:47,2017-11-16 19:10:36
1145,2017-11-16,2017-11-16 07:19:20,2017-11-16 19:19:49
1342,2017-11-16,2017-11-16 07:21:24,2017-11-16 18:45:04
1493,2017-11-16,2017-11-16 07:22:58,2017-11-16 20:48:53
1186,2017-11-16,2017-11-16 07:25:25,2017-11-16 19:34:04
1204,2017-11-16,2017-11-16 07:27:02,2017-11-16 18:58:49
1456,2017-11-16,2017-11-16 07:28:40,2017-11-16 19:25:01
1467,2017-11-16,2017-11-16 07:30:43,2017-11-16 18:27:38
1257,2017-11-16,2017-11-16 07:33:48,2017-11-16 19:05:03
1210,2017-11-16,2017-11-16 07:34:20,2017-11-16 18:49:46
1431,2017-11-16,2017-11-16 07:34:35,2017-11-16 17:19:17
1167,2017-11-16,2017-11-16 07:35:38,2017-11-16 19:41:28
1417,2017-11-16,2017-11-16 07:37:43,2017-11-16 19:53:57
1224,2017-11-16,2017-11-16 07:41:11,2017-11-16 18:13:53
1484,2017-11-16,2017-11-16 07:41:53,2017-11-16 18:42:23
1255,2017-11-16,2017-11-16 07:45:16,2017-11-16 18:27:28
1286,2017-11-16,2017-11-16 07:45:30,2017-11-16 19:30:02
1124,2017-11-16,2017-11-16 07:45:41,2017-11-16 19:17:40
1108,2017-11-16,2017-11-16 07:46:56,2017-11-16 18:28:13
1451,2017-11-16,2017-11-16 07:48:34,2017-11-16 17:37:17
1327,2017-11-16,2017-11-16 07:53:08,2017-11-16 18:01:01
1439,2017-11-16,2017-11-16 07:53:38,2017-11-16 17:49:19
1248,2017-11-16,2017-11-16 07:53:46,2017-11-16 17:58:53
1498,2017-11-16,2017-11-16 07:53:54,2017-11-16 18:04:26
1368,2017-11-16,2017-11-16 07:56:05,2017-11-16 17:07:47
1459,2017-11-16,2017-11-16 07:56:47,2017-11-16 21:28:50
1347,2017-11-16,2017-11-16 07:57:39,2017-11-16 17:50:20
1346,2017-11-16,2017-11-16 07:57:41,2017-11-16 18:22:40
1293,2017-11-16,2017-11-16 07:58:35,2017-11-16 18:16:20
1154,2017-11-16,2017-11-16 08:00:53,2017-11-16 19:31:11
1251,2017-11-16,2017-11-16 08:00:55,2017-11-16 18:30:20
1220,2017-11-16,2017-11-16 08:02:22,2017-11-16 19:29:05
1344,2017-11-16,2017-11-16 08:07:21,2017-11-16 21:13:04
1142,2017-11-16,2017-11-16 08:08:13,2017-11-16 19:45:33
1495,2017-11-16,2017-11-16 08:09:44,2017-11-16 20:31:14
1296,2017-11-16,2017-11-16 08:10:39,2017-11-16 19:57:09
1486,2017-11-16,2017-11-16 08:11:16,2017-11-16 19:00:07
1226,2017-11-16,2017-11-16 08:11:24,2017-11-16 17:31:37
1127,2017-11-16,2017-11-16 08:11:57,2017-11-16 15:37:40
1254,2017-11-16,2017-11-16 08:12:29,2017-11-16 22:49:29
1351,2017-11-16,2017-11-16 08:12:58,2017-11-16 20:46:48
1345,2017-11-16,2017-11-16 08:13:21,2017-11-16 19:02:11
1330,2017-11-16,2017-11-16 08:13:35,2017-11-16 19:07:17
1151,2017-11-16,2017-11-16 08:14:37,2017-11-16 18:46:05
1207,2017-11-16,2017-11-16 08:15:17,2017-11-16 19:22:37
1165,2017-11-16,2017-11-16 08:15:22,2017-11-16 19:47:19
1491,2017-11-16,2017-11-16 08:15:47,2017-11-16 18:58:50
1369,2017-11-16,2017-11-16 08:15:58,2017-11-16 17:26:50
1252,2017-11-16,2017-11-16 08:16:06,2017-11-16 18:20:50
1098,2017-11-16,2017-11-16 08:16:15,2017-11-16 19:10:43
1104,2017-11-16,2017-11-16 08:16:40,2017-11-16 18:24:20
1182,2017-11-16,2017-11-16 08:16:44,2017-11-16 18:43:36
1449,2017-11-16,2017-11-16 08:18:39,2017-11-16 19:16:41
1041,2017-11-16,2017-11-16 08:20:37,2017-11-16 19:07:05
1191,2017-11-16,2017-11-16 08:21:48,2017-11-16 19:31:48
1349,2017-11-16,2017-11-16 08:22:21,2017-11-16 19:43:54
1362,2017-11-16,2017-11-16 08:22:30,2017-11-16 18:23:51
1306,2017-11-16,2017-11-16 08:22:34,2017-11-16 19:56:46
1177,2017-11-16,2017-11-16 08:23:07,2017-11-16 20:29:13
1429,2017-11-16,2017-11-16 08:23:26,2017-11-16 18:09:46
1213,2017-11-16,2017-11-16 08:25:19,2017-11-16 18:24:38
1455,2017-11-16,2017-11-16 08:25:47,2017-11-16 18:59:10
1428,2017-11-16,2017-11-16 08:26:42,2017-11-16 19:34:05
1496,2017-11-16,2017-11-16 08:26:45,2017-11-16 19:28:25
1466,2017-11-16,2017-11-16 08:26:47,2017-11-16 19:31:56
1321,2017-11-16,2017-11-16 08:28:06,2017-11-16 18:50:57
1481,2017-11-16,2017-11-16 08:28:51,2017-11-16 20:48:20
1115,2017-11-16,2017-11-16 08:29:14,2017-11-16 20:54:13
1199,2017-11-16,2017-11-16 08:29:15,2017-11-16 20:23:56
1125,2017-11-16,2017-11-16 08:29:37,2017-11-16 21:26:20
1299,2017-11-16,2017-11-16 08:29:45,2017-11-16 18:34:29
1209,2017-11-16,2017-11-16 08:30:00,2017-11-16 21:41:52
1312,2017-11-16,2017-11-16 08:30:29,2017-11-16 18:50:28
1246,2017-11-16,2017-11-16 08:30:44,2017-11-16 19:03:28
1477,2017-11-16,2017-11-16 08:30:55,2017-11-16 18:43:38
1483,2017-11-16,2017-11-16 08:31:18,2017-11-16 18:14:38
