proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.19,22,10.50.50.31,2270,success,2017-11-18 03:00:00,root
ssh,10.7.133.15,22,10.50.50.27,5387,success,2017-11-18 03:00:00,root
ssh,10.7.133.16,22,10.50.50.46,4181,success,2017-11-18 03:00:00,root
ssh,10.7.133.17,22,10.50.50.44,4693,success,2017-11-18 03:00:00,root
ssh,10.7.133.16,22,10.50.50.37,2330,success,2017-11-18 03:00:00,root
ssh,10.7.133.21,22,10.50.50.26,2879,success,2017-11-18 03:00:00,root
ssh,10.7.133.20,22,10.50.50.29,5183,success,2017-11-18 03:00:00,root
ssh,10.7.133.18,22,10.50.50.28,2479,success,2017-11-18 03:00:00,root
ssh,10.7.133.15,22,10.63.120.70,5233,success,2017-11-18 03:00:00,root
ssh,10.7.133.16,22,10.5.71.60,4483,success,2017-11-18 03:00:00,root
ftp,10.50.50.28,21,10.64.105.242,2173,success,2017-11-18 07:11:17,1140
sftp,10.50.50.28,22,10.64.106.34,1850,success,2017-11-18 07:19:36,1210
mysql,10.50.50.46,4443,10.64.105.13,1713,success,2017-11-18 07:20:48,1493
mongodb,10.50.50.26,8005,10.64.105.242,2173,success,2017-11-18 07:43:53,1140
tds,10.50.50.37,54238,10.64.106.34,1850,success,2017-11-18 07:54:43,1210
tds,10.50.50.28,54238,10.64.105.13,1713,success,2017-11-18 07:54:54,1493
ftp,10.7.133.15,21,10.64.105.161,2252,success,2017-11-18 08:11:09,1351
ssh,10.50.50.26,22,10.64.105.242,2173,success,2017-11-18 08:19:39,1140
ssh,10.50.50.37,22,10.64.105.210,2153,success,2017-11-18 08:19:52,1495
ssh,10.50.50.44,22,10.64.105.245,2396,success,2017-11-18 08:26:54,1191
ftp,10.50.50.40,21,10.64.106.34,1850,success,2017-11-18 08:27:44,1210
tds,10.50.50.37,54238,10.64.105.227,2000,error,2017-11-18 08:29:37,1246
tds,10.50.50.26,54238,10.64.105.135,2090,success,2017-11-18 08:29:55,1420
ssh,10.5.71.60,22,10.64.106.36,49195,success,2017-11-18 08:35:25,1147
ssh,10.50.50.37,22,10.64.105.104,2230,success,2017-11-18 08:35:52,1197
mongodb,10.7.133.20,8005,10.64.105.161,2252,success,2017-11-18 08:35:58,1351
postgresql,10.50.50.26,5432,10.64.105.155,2258,success,2017-11-18 08:44:21,1129
ftp,10.50.50.26,21,10.64.105.13,1713,success,2017-11-18 08:45:56,1493
mongodb,10.50.50.28,8005,10.64.105.245,2396,success,2017-11-18 08:47:48,1191
postgresql,10.50.50.48,5432,10.64.105.151,1831,success,2017-11-18 08:49:02,1087
ssh,10.50.50.29,22,10.64.105.251,1935,success,2017-11-18 08:49:41,1416
tds,10.50.50.43,54238,10.64.105.210,2153,success,2017-11-18 08:50:09,1495
mongodb,10.50.50.26,8005,10.64.105.227,2000,success,2017-11-18 08:51:58,1246
tds,10.50.50.36,54238,10.64.105.67,1878,success,2017-11-18 08:52:06,1405
mongodb,10.50.50.26,8005,10.64.105.147,1726,success,2017-11-18 08:53:10,1243
sftp,10.50.50.26,22,10.64.105.99,1962,success,2017-11-18 08:54:04,1195
sftp,10.50.50.33,22,10.64.105.242,2173,success,2017-11-18 08:54:10,1140
mysql,10.7.133.18,4443,10.64.106.34,1850,success,2017-11-18 09:00:20,1210
sftp,10.50.50.46,22,10.64.105.135,2090,success,2017-11-18 09:06:23,1420
ftp,10.50.50.37,21,10.64.105.104,2230,success,2017-11-18 09:09:00,1197
tds,10.50.50.33,54238,10.64.105.13,1713,success,2017-11-18 09:11:07,1493
ftp,10.50.50.29,21,10.64.105.155,2258,success,2017-11-18 09:12:11,1129
postgresql,10.50.50.28,5432,10.64.105.251,1935,success,2017-11-18 09:12:36,1416
mongodb,10.50.50.29,8005,10.64.105.242,2173,success,2017-11-18 09:15:12,1140
mysql,10.50.50.28,4443,10.64.105.99,1962,success,2017-11-18 09:17:23,1195
tds,10.50.50.37,54238,10.64.105.210,2153,success,2017-11-18 09:17:37,1495
ssh,10.5.71.60,22,10.64.105.140,49183,success,2017-11-18 09:18:06,1328
mongodb,10.50.50.37,8005,10.64.105.227,2000,success,2017-11-18 09:18:59,1246
postgresql,10.50.50.29,5432,10.64.105.67,1878,success,2017-11-18 09:22:18,1405
tds,10.50.50.26,54238,10.64.105.58,2233,success,2017-11-18 09:24:34,1457
sftp,10.50.50.28,22,10.64.105.245,2396,success,2017-11-18 09:25:37,1191
mongodb,10.50.50.28,8005,10.64.105.151,1831,success,2017-11-18 09:27:03,1087
sftp,10.50.50.28,22,10.64.105.147,1726,error,2017-11-18 09:29:36,1243
ftp,10.50.50.29,21,10.64.105.161,2252,success,2017-11-18 09:30:06,1351
tds,10.50.50.26,54238,10.64.106.34,1850,error,2017-11-18 09:30:59,1210
postgresql,10.50.50.37,5432,10.64.105.155,2258,success,2017-11-18 09:33:54,1129
ssh,10.50.50.26,22,10.64.105.135,2090,success,2017-11-18 09:34:00,1420
sftp,10.50.50.29,22,10.64.105.104,2230,success,2017-11-18 09:34:14,1197
mongodb,10.50.50.26,8005,10.64.105.99,1962,error,2017-11-18 09:38:49,1195
postgresql,10.50.50.45,5432,10.64.105.13,1713,success,2017-11-18 09:40:53,1493
ftp,10.50.50.43,21,10.64.105.242,2173,success,2017-11-18 09:41:01,1140
mysql,10.50.50.38,4443,10.64.105.67,1878,success,2017-11-18 09:46:14,1405
sftp,10.50.50.28,22,10.64.105.251,1935,success,2017-11-18 09:46:59,1416
mysql,10.50.50.43,4443,10.64.105.210,2153,success,2017-11-18 09:50:50,1495
ftp,10.50.50.29,21,10.64.105.245,2396,success,2017-11-18 09:51:12,1191
ssh,10.50.50.43,22,10.64.105.147,1726,success,2017-11-18 09:52:15,1243
mysql,10.7.133.15,4443,10.64.105.227,2000,success,2017-11-18 09:52:26,1246
ftp,10.50.50.26,21,10.64.106.34,1850,success,2017-11-18 09:57:32,1210
ssh,10.63.120.70,22,10.64.105.4,49205,success,2017-11-18 10:30:21,1487
sftp,10.50.50.26,22,10.64.106.34,1850,success,2017-11-18 11:01:45,1210
sftp,10.7.133.16,22,10.64.105.155,2302,success,2017-11-18 11:03:49,1129
mysql,10.50.50.40,4443,10.64.105.58,2382,success,2017-11-18 11:04:22,1457
mongodb,10.50.50.28,8005,10.64.106.34,1850,success,2017-11-18 11:05:11,1210
ssh,10.50.50.26,22,10.64.105.227,2122,success,2017-11-18 11:05:33,1246
mysql,10.50.50.26,4443,10.64.105.58,2382,success,2017-11-18 11:07:17,1457
mongodb,10.50.50.28,8005,10.64.105.155,2302,success,2017-11-18 11:07:55,1129
sftp,10.50.50.26,22,10.64.105.242,2224,success,2017-11-18 11:12:03,1140
mysql,10.50.50.29,4443,10.64.105.227,2122,success,2017-11-18 11:12:47,1246
mysql,10.7.133.16,4443,10.64.105.251,2049,success,2017-11-18 11:12:57,1416
tds,10.7.133.18,54238,10.64.105.104,2281,success,2017-11-18 11:13:53,1197
postgresql,10.7.133.15,5432,10.64.105.147,1726,success,2017-11-18 11:14:50,1243
postgresql,10.50.50.28,5432,10.64.105.99,2029,success,2017-11-18 11:19:14,1195
mongodb,10.50.50.26,8005,10.64.105.155,2302,success,2017-11-18 11:22:36,1129
mysql,10.50.50.26,4443,10.64.105.245,2498,success,2017-11-18 11:24:30,1191
tds,10.50.50.28,54238,10.64.105.13,1769,success,2017-11-18 11:25:47,1493
mysql,10.50.50.26,4443,10.64.105.161,2359,success,2017-11-18 11:25:52,1351
ssh,10.50.50.26,22,10.64.105.13,1769,success,2017-11-18 11:28:13,1493
ftp,10.50.50.26,21,10.64.105.99,2029,success,2017-11-18 11:29:24,1195
tds,10.50.50.38,54238,10.64.105.67,1878,success,2017-11-18 11:29:49,1405
postgresql,10.50.50.37,5432,10.64.105.227,2122,success,2017-11-18 11:31:29,1246
ssh,10.50.50.40,22,10.64.105.104,2281,success,2017-11-18 11:34:04,1197
sftp,10.50.50.29,22,10.64.105.104,2281,success,2017-11-18 11:36:43,1197
ssh,10.7.133.19,22,10.64.105.155,2302,success,2017-11-18 11:37:42,1129
ftp,10.50.50.29,21,10.64.105.104,2281,error,2017-11-18 11:40:06,1197
postgresql,10.50.50.26,5432,10.64.105.135,2148,success,2017-11-18 11:42:24,1420
ssh,10.50.50.26,22,10.64.105.227,2122,success,2017-11-18 11:43:13,1246
mysql,10.50.50.38,4443,10.64.105.251,2049,success,2017-11-18 11:43:43,1416
tds,10.50.50.28,54238,10.64.106.34,1850,success,2017-11-18 11:46:56,1210
postgresql,10.50.50.46,5432,10.64.105.151,1949,success,2017-11-18 11:52:10,1087
sftp,10.50.50.46,22,10.64.105.58,2382,success,2017-11-18 11:56:25,1457
mysql,10.50.50.28,4443,10.64.105.104,2281,success,2017-11-18 11:56:35,1197
postgresql,10.7.133.20,5432,10.64.105.161,2359,success,2017-11-18 11:56:59,1351
sftp,10.50.50.26,22,10.64.105.151,1949,success,2017-11-18 11:57:02,1087
sftp,10.50.50.29,22,10.64.105.58,2382,success,2017-11-18 12:02:42,1457
ftp,10.7.133.16,21,10.64.105.135,2148,success,2017-11-18 12:03:22,1420
sftp,10.50.50.28,22,10.64.105.147,1726,success,2017-11-18 12:05:41,1243
tds,10.50.50.37,54238,10.64.106.34,1850,success,2017-11-18 12:05:57,1210
mongodb,10.7.133.19,8005,10.64.105.147,1726,success,2017-11-18 12:06:24,1243
mongodb,10.50.50.28,8005,10.64.105.245,2498,success,2017-11-18 12:08:38,1191
postgresql,10.50.50.41,5432,10.64.105.245,2498,error,2017-11-18 12:08:42,1191
ssh,10.50.50.26,22,10.64.105.104,2281,success,2017-11-18 12:09:47,1197
ssh,10.63.120.70,22,10.64.105.219,49211,success,2017-11-18 12:10:44,1376
tds,10.50.50.29,54238,10.64.105.227,2122,success,2017-11-18 12:10:57,1246
ssh,10.50.50.29,22,10.64.105.67,1878,success,2017-11-18 12:11:10,1405
postgresql,10.50.50.26,5432,10.64.105.67,1878,success,2017-11-18 12:11:47,1405
postgresql,10.50.50.26,5432,10.64.105.147,1726,success,2017-11-18 12:12:41,1243
mysql,10.50.50.37,4443,10.64.105.210,2153,success,2017-11-18 12:14:43,1495
ssh,10.50.50.29,22,10.64.105.151,1949,success,2017-11-18 12:14:49,1087
ftp,10.50.50.29,21,10.64.105.242,2224,success,2017-11-18 12:15:32,1140
ssh,10.50.50.29,22,10.64.105.251,2049,success,2017-11-18 12:16:47,1416
sftp,10.50.50.29,22,10.64.105.13,1769,success,2017-11-18 12:18:17,1493
tds,10.50.50.41,54238,10.64.105.67,1878,success,2017-11-18 12:23:02,1405
tds,10.50.50.37,54238,10.64.105.104,2281,success,2017-11-18 12:24:53,1197
ftp,10.50.50.26,21,10.64.105.155,2302,success,2017-11-18 12:26:29,1129
mongodb,10.7.133.20,8005,10.64.105.161,2359,success,2017-11-18 12:27:45,1351
mysql,10.50.50.26,4443,10.64.105.210,2153,success,2017-11-18 12:27:53,1495
ssh,10.63.120.70,22,10.64.105.162,49180,success,2017-11-18 13:25:34,1283
ssh,10.7.133.15,22,10.64.105.227,2842,success,2017-11-18 13:37:02,1246
mysql,10.50.50.37,4443,10.64.105.227,2842,success,2017-11-18 13:39:15,1246
mysql,10.50.50.29,4443,10.64.105.67,2412,success,2017-11-18 13:46:45,1405
ftp,10.50.50.29,21,10.64.105.147,2692,success,2017-11-18 13:52:20,1243
mongodb,10.50.50.28,8005,10.64.105.147,2692,success,2017-11-18 13:52:56,1243
sftp,10.50.50.38,22,10.64.105.251,2645,success,2017-11-18 14:18:58,1416
sftp,10.50.50.28,22,10.64.105.99,2993,success,2017-11-18 14:21:00,1195
sftp,10.50.50.26,22,10.64.105.147,2692,success,2017-11-18 14:26:11,1243
postgresql,10.50.50.26,5432,10.64.105.135,2731,success,2017-11-18 14:30:28,1420
mongodb,10.50.50.29,8005,10.64.105.161,3588,success,2017-11-18 14:35:46,1351
postgresql,10.50.50.43,5432,10.64.105.147,2692,success,2017-11-18 14:43:31,1243
mongodb,10.50.50.28,8005,10.64.106.34,2395,success,2017-11-18 14:43:47,1210
ftp,10.50.50.33,21,10.64.105.99,2993,success,2017-11-18 14:43:56,1195
ftp,10.7.133.15,21,10.64.105.161,3588,success,2017-11-18 14:44:49,1351
mongodb,10.7.133.19,8005,10.64.105.147,2692,success,2017-11-18 14:50:45,1243
postgresql,10.50.50.28,5432,10.64.105.104,2944,error,2017-11-18 14:51:00,1197
mysql,10.50.50.37,4443,10.64.105.245,3446,success,2017-11-18 14:51:23,1191
ftp,10.50.50.29,21,10.64.105.99,2993,success,2017-11-18 14:51:59,1195
tds,10.50.50.26,54238,10.64.105.155,3256,success,2017-11-18 14:54:45,1129
ftp,10.50.50.26,21,10.64.105.99,2993,success,2017-11-18 15:00:48,1195
tds,10.50.50.26,54238,10.64.105.58,2764,success,2017-11-18 15:06:16,1457
ftp,10.50.50.40,21,10.64.105.161,3588,success,2017-11-18 15:07:29,1351
postgresql,10.50.50.48,5432,10.64.105.67,2412,error,2017-11-18 15:10:45,1405
mysql,10.50.50.26,4443,10.64.105.104,2944,success,2017-11-18 15:14:46,1197
ftp,10.7.133.15,21,10.64.105.151,2931,success,2017-11-18 15:19:07,1087
ftp,10.50.50.40,21,10.64.105.161,3588,success,2017-11-18 15:25:20,1351
mysql,10.50.50.29,4443,10.64.105.13,2358,success,2017-11-18 15:28:26,1493
sftp,10.50.50.41,22,10.64.105.13,2358,success,2017-11-18 15:33:55,1493
mongodb,10.7.133.15,8005,10.64.105.155,3256,success,2017-11-18 15:34:05,1129
mysql,10.50.50.26,4443,10.64.105.147,2692,success,2017-11-18 15:36:03,1243
ssh,10.50.50.28,22,10.64.105.104,2944,success,2017-11-18 15:46:29,1197
sftp,10.50.50.26,22,10.64.106.34,2395,success,2017-11-18 15:55:55,1210
ssh,10.50.50.26,22,10.64.105.242,3505,error,2017-11-18 15:59:30,1140
ftp,10.50.50.28,21,10.64.106.34,2395,success,2017-11-18 16:01:13,1210
tds,10.50.50.28,54238,10.64.105.245,3446,success,2017-11-18 16:02:14,1191
mysql,10.50.50.26,4443,10.64.105.227,2842,success,2017-11-18 16:07:52,1246
mongodb,10.50.50.29,8005,10.64.106.34,2395,success,2017-11-18 16:12:07,1210
mongodb,10.7.133.18,8005,10.64.105.242,3505,success,2017-11-18 16:16:22,1140
mongodb,10.7.133.18,8005,10.64.105.104,2944,success,2017-11-18 16:17:49,1197
ftp,10.50.50.26,21,10.64.105.67,2412,success,2017-11-18 16:21:43,1405
ssh,10.50.50.28,22,10.64.105.155,3256,success,2017-11-18 16:27:41,1129
ftp,10.50.50.46,21,10.64.105.151,2931,success,2017-11-18 16:27:57,1087
ftp,10.7.133.16,21,10.64.105.155,3256,success,2017-11-18 16:35:11,1129
tds,10.50.50.26,54238,10.64.106.34,2395,success,2017-11-18 16:38:45,1210
tds,10.50.50.43,54238,10.64.105.67,2412,success,2017-11-18 16:40:01,1405
ssh,10.50.50.29,22,10.64.105.155,3256,success,2017-11-18 16:43:51,1129
mysql,10.50.50.33,4443,10.64.105.242,3505,success,2017-11-18 16:46:45,1140
ssh,10.7.133.18,22,10.64.105.99,2993,success,2017-11-18 16:47:06,1195
sftp,10.7.133.16,22,10.64.105.135,2731,success,2017-11-18 16:51:15,1420
ssh,10.50.50.44,22,10.64.105.67,2412,success,2017-11-18 16:54:04,1405
ssh,10.50.50.26,22,10.64.105.151,2931,success,2017-11-18 16:56:24,1087
ftp,10.50.50.43,21,10.64.105.242,3505,success,2017-11-18 16:59:13,1140
ftp,10.50.50.26,21,10.64.105.242,3505,success,2017-11-18 17:01:12,1140
ssh,10.7.133.16,22,10.64.105.251,2645,success,2017-11-18 17:01:12,1416
tds,10.50.50.29,54238,10.64.105.13,2358,error,2017-11-18 17:02:57,1493
ssh,10.50.50.26,22,10.64.105.227,2842,success,2017-11-18 17:13:20,1246
tds,10.7.133.15,54238,10.64.105.147,2692,success,2017-11-18 17:18:50,1243
postgresql,10.7.133.16,5432,10.64.105.13,2358,success,2017-11-18 17:23:42,1493
ssh,10.50.50.26,22,10.64.105.99,2993,error,2017-11-18 17:24:51,1195
ftp,10.50.50.29,21,10.64.105.58,2764,success,2017-11-18 17:26:02,1457
ftp,10.50.50.40,21,10.64.105.58,2764,success,2017-11-18 17:27:55,1457
postgresql,10.50.50.26,5432,10.64.105.99,2993,success,2017-11-18 17:31:19,1195
