stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-18 03:00:00,2017-11-18 03:00:10,smtp,10.7.133.18,25,10.50.50.28,2479,5967,5267
2017-11-18 03:00:00,2017-11-18 03:14:17,smtp,10.5.71.60,25,10.1.4.17,49212,123,161
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.7.133.21,25,10.50.50.26,2879,55820,47120
2017-11-18 03:00:00,2017-11-18 03:17:54,smtp,10.5.71.60,25,10.1.4.17,49195,187,306
2017-11-18 03:00:00,2017-11-18 03:12:00,smtp,10.5.71.60,25,10.1.4.17,49192,144,398
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,5233,163,334
2017-11-18 03:00:00,2017-11-18 03:00:10,smtp,10.7.133.15,25,10.63.120.70,5233,45859,39051
2017-11-18 03:00:00,2017-11-18 03:13:31,smtp,10.5.71.60,25,10.1.4.17,49190,168,220
2017-11-18 03:00:00,2017-11-18 03:12:57,smtp,10.5.71.60,25,10.1.4.17,49232,168,193
2017-11-18 03:00:00,2017-11-18 03:15:58,smtp,10.5.71.60,25,10.1.4.17,49181,187,289
2017-11-18 03:00:00,2017-11-18 03:12:44,smtp,10.5.71.60,25,10.1.4.17,49197,119,298
2017-11-18 03:00:00,2017-11-18 03:17:24,smtp,10.5.71.60,25,10.1.4.17,49210,160,320
2017-11-18 03:00:00,2017-11-18 03:10:28,smtp,10.5.71.60,25,10.1.4.17,49175,132,356
2017-11-18 03:00:00,2017-11-18 03:16:31,smtp,10.5.71.60,25,10.1.4.17,49227,131,341
2017-11-18 03:00:00,2017-11-18 03:14:08,smtp,10.5.71.60,25,10.1.4.17,49179,137,353
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.7.133.15,25,10.50.50.27,5387,7699,5806
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,4483,122,159
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.7.133.20,25,10.50.50.29,5183,5657,4591
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,2270,144,126
2017-11-18 03:00:00,2017-11-18 03:00:10,smtp,10.7.133.19,25,10.50.50.31,2270,50525,63737
2017-11-18 03:00:00,2017-11-18 03:00:10,smtp,10.7.133.16,25,10.5.71.60,4483,57308,44020
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,2330,198,129
2017-11-18 03:00:00,2017-11-18 03:00:10,smtp,10.7.133.16,25,10.50.50.37,2330,55039,33094
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,2879,193,393
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,4693,155,377
2017-11-18 03:00:00,2017-11-18 03:00:10,smtp,10.7.133.17,25,10.50.50.44,4693,56201,38798
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.5.71.60,25,10.1.4.17,4181,195,312
2017-11-18 03:00:00,2017-11-18 03:00:20,smtp,10.7.133.16,25,10.50.50.46,4181,47278,60579
2017-11-18 03:00:10,2017-11-18 03:00:12,ssh,10.7.133.15,22,10.63.120.70,5233,39451,25487
2017-11-18 03:00:11,2017-11-18 03:00:13,ssh,10.7.133.21,22,10.50.50.26,2879,54918,5110
2017-11-18 03:00:11,2017-11-18 03:00:11,ssh,10.7.133.15,22,10.63.120.70,5233,55210,16549
2017-11-18 03:00:11,2017-11-18 03:00:13,ssh,10.7.133.15,22,10.63.120.70,5233,40065,10978
2017-11-18 03:00:12,2017-11-18 03:00:12,ssh,10.7.133.21,22,10.50.50.26,2879,47387,8421
2017-11-18 03:00:12,2017-11-18 03:00:14,ssh,10.7.133.15,22,10.63.120.70,5233,35773,3026
2017-11-18 03:00:13,2017-11-18 03:00:17,ssh,10.7.133.15,22,10.63.120.70,5233,55148,16346
2017-11-18 03:00:13,2017-11-18 03:00:14,ssh,10.7.133.20,22,10.50.50.29,5183,8132,1653
2017-11-18 03:00:13,2017-11-18 03:00:16,ssh,10.7.133.18,22,10.50.50.28,2479,7201,386
2017-11-18 03:00:13,2017-11-18 03:00:16,ssh,10.7.133.15,22,10.50.50.27,5387,4924,835
2017-11-18 03:00:14,2017-11-18 03:00:18,ssh,10.7.133.21,22,10.50.50.26,2879,54391,30326
2017-11-18 03:00:14,2017-11-18 03:00:18,ssh,10.7.133.15,22,10.50.50.27,5387,7737,584
2017-11-18 03:00:15,2017-11-18 03:00:16,ssh,10.7.133.18,22,10.50.50.28,2479,7084,3484
2017-11-18 03:00:15,2017-11-18 03:00:16,ssh,10.7.133.20,22,10.50.50.29,5183,7839,3631
2017-11-18 03:00:15,2017-11-18 03:00:17,ssh,10.7.133.15,22,10.63.120.70,5233,61236,3702
2017-11-18 03:00:15,2017-11-18 03:00:15,ssh,10.7.133.20,22,10.50.50.29,5183,5027,3417
