stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-25 03:00:00,2017-11-25 03:13:35,smtp,10.5.71.60,25,10.1.4.17,49221,142,161
2017-11-25 03:00:00,2017-11-25 03:00:20,smtp,10.7.133.15,25,10.63.120.70,5328,39762,47726
2017-11-25 03:00:00,2017-11-25 03:00:20,smtp,10.5.71.60,25,10.1.4.17,5423,141,137
2017-11-25 03:00:00,2017-11-25 03:00:20,smtp,10.7.133.16,25,10.5.71.60,5423,53988,38603
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.5.71.60,25,10.1.4.17,2844,105,113
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.7.133.17,25,10.50.50.44,2844,39283,54113
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.7.133.16,25,10.50.50.37,3223,54967,54847
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.5.71.60,25,10.1.4.17,3223,159,188
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.5.71.60,25,10.1.4.17,2692,193,254
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.7.133.21,25,10.50.50.26,2692,37967,56730
2017-11-25 03:00:00,2017-11-25 03:15:25,smtp,10.5.71.60,25,10.1.4.17,49183,191,133
2017-11-25 03:00:00,2017-11-25 03:16:36,smtp,10.5.71.60,25,10.1.4.17,49215,194,361
2017-11-25 03:00:00,2017-11-25 03:10:18,smtp,10.5.71.60,25,10.1.4.17,49195,182,294
2017-11-25 03:00:00,2017-11-25 03:10:11,smtp,10.5.71.60,25,10.1.4.17,49194,104,348
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.5.71.60,25,10.1.4.17,5328,142,123
2017-11-25 03:00:00,2017-11-25 03:00:20,smtp,10.5.71.60,25,10.1.4.17,2395,100,168
2017-11-25 03:00:00,2017-11-25 03:00:10,smtp,10.7.133.16,25,10.50.50.46,2395,36581,47043
2017-11-25 03:00:00,2017-11-25 03:17:51,smtp,10.5.71.60,25,10.1.4.17,49228,193,127
2017-11-25 03:00:00,2017-11-25 03:00:20,smtp,10.5.71.60,25,10.1.4.17,4600,160,244
2017-11-25 03:00:00,2017-11-25 03:00:20,smtp,10.7.133.19,25,10.50.50.31,4600,48295,48281
2017-11-25 03:00:10,2017-11-25 03:00:10,ssh,10.7.133.16,22,10.50.50.37,3223,51839,32008
