proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.18,22,10.50.50.28,3397,success,2017-11-04 03:00:00,root
ssh,10.7.133.16,22,10.50.50.46,3321,success,2017-11-04 03:00:00,root
ssh,10.7.133.16,22,10.50.50.37,3007,success,2017-11-04 03:00:00,root
ssh,10.7.133.19,22,10.50.50.31,2461,success,2017-11-04 03:00:00,root
ssh,10.7.133.20,22,10.50.50.29,3038,success,2017-11-04 03:00:00,root
ssh,10.7.133.17,22,10.50.50.44,5500,success,2017-11-04 03:00:00,root
ssh,10.7.133.15,22,10.50.50.27,3518,success,2017-11-04 03:00:00,root
ssh,10.7.133.21,22,10.50.50.26,5398,success,2017-11-04 03:00:00,root
ssh,10.7.133.16,22,10.5.71.60,2984,success,2017-11-04 03:00:00,root
ssh,10.7.133.15,22,10.63.120.70,5788,success,2017-11-04 03:00:00,root
ftp,10.50.50.26,21,10.64.106.51,2273,success,2017-11-04 08:22:50,1466
mysql,10.50.50.26,4443,10.64.106.17,1655,error,2017-11-04 08:31:26,1275
ssh,10.50.50.28,22,10.64.106.17,1655,success,2017-11-04 08:51:44,1275
ssh,10.50.50.29,22,10.64.105.34,1876,success,2017-11-04 08:52:25,1192
ssh,10.50.50.29,22,10.64.106.51,2273,success,2017-11-04 08:53:56,1466
mysql,10.50.50.48,4443,10.64.105.34,1876,success,2017-11-04 09:25:44,1192
mongodb,10.7.133.16,8005,10.64.106.51,2273,success,2017-11-04 09:29:26,1466
tds,10.50.50.26,54238,10.64.106.17,1655,error,2017-11-04 09:30:02,1275
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 09:50:35,1211
ssh,10.50.50.29,22,10.64.106.17,1655,success,2017-11-04 09:55:55,1275
mongodb,10.50.50.48,8005,10.64.105.34,1876,success,2017-11-04 09:56:24,1192
sftp,10.50.50.29,22,10.64.106.51,2273,success,2017-11-04 09:59:32,1466
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:00:40,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:05:31,1211
postgresql,10.50.50.28,5432,10.64.106.17,1655,success,2017-11-04 11:08:28,1275
tds,10.7.133.18,54238,10.64.106.17,1655,success,2017-11-04 11:12:26,1275
ftp,10.7.133.16,21,10.64.106.51,2273,success,2017-11-04 11:13:02,1466
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:30:19,1211
tds,10.50.50.26,54238,10.64.106.51,2273,success,2017-11-04 11:30:37,1466
mongodb,10.50.50.28,8005,10.64.105.34,1922,success,2017-11-04 11:44:17,1192
mongodb,10.50.50.48,8005,10.64.105.34,1922,success,2017-11-04 11:46:53,1192
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:52:53,1211
ssh,10.50.50.26,22,10.64.106.17,1655,success,2017-11-04 12:03:10,1275
sftp,10.7.133.16,22,10.64.106.51,2273,success,2017-11-04 12:03:35,1466
mysql,10.50.50.28,4443,10.64.106.17,1655,success,2017-11-04 12:03:55,1275
sftp,10.50.50.26,22,10.64.105.34,1922,success,2017-11-04 12:07:44,1192
mysql,10.50.50.26,4443,10.64.105.34,1922,success,2017-11-04 12:14:39,1192
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 12:20:24,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 12:29:41,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 12:41:38,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 13:02:42,1211
ssh,10.50.50.26,22,10.64.106.17,2182,success,2017-11-04 13:54:05,1275
postgresql,10.50.50.26,5432,10.64.105.34,2261,success,2017-11-04 14:19:04,1192
postgresql,10.50.50.28,5432,10.64.105.34,2261,success,2017-11-04 14:20:54,1192
postgresql,10.7.133.18,5432,10.64.106.17,2182,success,2017-11-04 14:38:18,1275
postgresql,10.50.50.28,5432,10.64.106.17,2182,success,2017-11-04 14:40:41,1275
mongodb,10.7.133.16,8005,10.64.106.51,2611,success,2017-11-04 14:47:10,1466
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 14:56:28,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 14:56:42,1211
ftp,10.7.133.15,21,10.64.106.51,2611,success,2017-11-04 15:05:37,1466
