time,sip,sport,dip,dport,host
2017-11-04 10:18:56,10.64.105.34,1885,10.50.50.48,80,
2017-11-04 11:08:25,10.64.106.51,2387,10.7.133.15,80,
2017-11-04 11:11:17,10.64.105.34,1932,115.231.74.62,443,sports.cntv.cn
2017-11-04 11:26:07,10.64.106.51,2309,221.5.43.43,8080,www.chinaitlab.com
2017-11-04 11:26:58,10.64.106.17,1837,10.50.50.29,443,lib02.hightech.com
2017-11-04 11:32:08,10.64.106.17,1665,114.80.130.60,443,news.sohu.com
2017-11-04 11:33:47,10.64.106.17,1966,10.7.133.18,80,
2017-11-04 11:58:01,10.64.106.51,2363,10.7.133.15,80,
2017-11-04 12:04:41,10.64.105.34,2090,10.63.120.70,443,OA.hightech.com
2017-11-04 12:14:44,10.64.106.17,1795,114.80.130.60,443,news.sohu.com
2017-11-04 12:22:14,10.64.106.17,1782,10.7.133.18,80,
2017-11-04 12:31:04,10.64.106.51,2473,169.45.222.26,443,teamtreehouse.com/forum
2017-11-04 12:36:26,10.64.105.34,2147,10.50.50.29,443,lib02.hightech.com
2017-11-04 12:44:08,10.64.106.17,1974,10.50.50.28,443,lib01.hightech.com
2017-11-04 13:03:50,10.64.105.34,2185,10.50.50.26,443,git.hightech.com
2017-11-04 13:08:03,10.64.106.51,2578,10.50.50.28,443,lib01.hightech.com
2017-11-04 13:11:53,10.64.106.17,2028,10.5.71.60,443,email.hightech.com
2017-11-04 13:35:49,10.64.105.34,4613,10.5.71.60,443,email.hightech.com
2017-11-04 13:52:59,10.64.105.34,5010,10.5.71.60,443,email.hightech.com
2017-11-04 14:10:07,10.64.106.51,3385,10.63.120.70,443,OA.hightech.com
2017-11-04 14:12:45,10.64.106.17,2798,10.50.50.29,443,lib02.hightech.com
2017-11-04 14:23:02,10.64.105.34,3800,10.50.50.48,80,
2017-11-04 14:37:58,10.64.105.34,4369,10.50.50.48,80,
2017-11-04 14:38:56,10.64.105.34,4983,140.205.62.20,80,ai.taobao.com
2017-11-04 14:38:57,10.64.106.51,3186,10.7.133.15,80,
