2011/01,2098
2011/02,2103
2011/03,3474
2011/04,2645
2011/05,2578
2011/06,5424
2011/07,9243
2011/08,4012
2011/09,6833
2011/10,7995
2011/11,7572
2011/12,5075
2012/01,7678
2012/02,4302
2012/03,4770
2012/04,7093
2012/05,13667
2012/06,8107
2012/07,12284
2012/08,11068
2012/09,7019
2012/10,11418
2012/11,16879
2012/12,13716
2013/01,15566
2013/02,15322
2013/03,14578
2013/04,13550
2013/05,13966
2013/06,12766
2013/07,16029
2013/08,18228
2013/09,14967
2013/10,15226
2013/11,8110
2013/12,15191
2014/01,16789
2014/02,11416
2014/03,34712
2014/04,40460
2014/05,41825
2014/06,44950
2014/07,11088
2014/08,12515
2014/09,12685
2014/10,13325
2014/11,12234
2014/12,13249
2015/01,13519
2015/02,13870
2015/03,15717
2015/04,21598
2015/05,28085
2015/06,5315
