2001/01,1
2001/06,0
2002/01,1
2002/02,1
2003/04,0
2003/11,0
2003/12,0
2004/01,2
2005/10,172
2005/11,289
2005/12,297
2006/01,401
2006/02,309
2006/03,392
2006/04,333
2006/05,282
2006/06,327
2006/07,333
2006/08,237
2006/09,295
2006/10,264
2006/11,195
2006/12,137
2007/01,181
2007/02,186
2007/03,243
2007/04,170
2007/05,189
2007/06,207
2007/07,181
2007/08,122
2007/09,234
2007/10,343
2007/11,369
2007/12,244
2008/01,489
2008/02,457
2008/03,282
2008/04,314
2008/05,253
2008/06,310
2008/07,467
2008/08,270
2008/09,350
2008/10,321
2008/11,248
2008/12,357
2009/01,493
2009/02,442
2009/03,275
2009/04,400
2009/05,326
2009/06,310
2009/07,450
2009/08,112
2009/09,302
2009/10,432
2009/11,361
2009/12,524
2010/01,312
2010/02,362
2010/03,415
2010/04,466
2010/05,563
2010/06,532
2010/07,560
2010/08,342
2010/09,448
2010/10,597
2010/11,1324
2010/12,1351
2011/01,2671
2011/02,2078
2011/03,3987
2011/04,2283
2011/05,2968
2011/06,4835
2011/07,6608
2011/08,3662
2011/09,6613
2011/10,6454
2011/11,5241
2011/12,4574
2012/01,4894
2012/02,3323
2012/03,4075
2012/04,4642
2012/05,8562
2012/06,5525
2012/07,8704
2012/08,8187
2012/09,5899
2012/10,8066
2012/11,12439
2012/12,11304
2013/01,13940
2013/02,15718
2013/03,15925
2013/04,13940
2013/05,15856
2013/06,14887
2013/07,21904
2013/08,29665
2013/09,53665
2013/10,69183
2013/11,62610
2013/12,64428
2014/01,84111
2014/02,67991
2014/03,69839
2014/04,63674
2014/05,55258
2014/06,64824
2014/07,69102
2014/08,64882
2014/09,84094
2014/10,93948
2014/11,88743
2014/12,101219
2015/01,96161
2015/02,99896
2015/03,120243
2015/04,111888
2015/05,166169
2015/06,38262
2016/01,2
