proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,5126,success,2017-11-01 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,3221,success,2017-11-01 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,4139,success,2017-11-01 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,2454,success,2017-11-01 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,4592,success,2017-11-01 02:00:00,root
ftp,10.50.50.26,21,10.64.105.242,1810,success,2017-11-01 07:14:49,1140
tds,10.7.133.15,54238,10.64.105.120,2032,success,2017-11-01 07:16:03,1102
ssh,10.50.50.26,22,10.64.105.160,2259,success,2017-11-01 07:22:14,1397
ftp,10.50.50.28,21,10.64.105.13,1934,error,2017-11-01 07:25:09,1493
ftp,10.50.50.29,21,10.64.105.75,1931,success,2017-11-01 07:25:46,1359
ssh,10.50.50.28,22,10.64.105.112,1551,success,2017-11-01 07:28:01,1456
mysql,10.50.50.37,4443,10.64.106.34,2157,error,2017-11-01 07:28:54,1210
ssh,10.50.50.29,22,10.64.105.107,2201,success,2017-11-01 07:29:54,1145
ftp,10.50.50.29,21,10.64.105.116,2205,success,2017-11-01 07:32:02,1204
mysql,10.50.50.49,4443,10.64.106.45,1936,error,2017-11-01 07:34:29,1484
mongodb,10.7.133.16,8005,10.64.105.54,1762,error,2017-11-01 07:38:30,1257
ssh,10.50.50.26,22,10.64.105.36,1953,success,2017-11-01 07:41:20,1220
ftp,10.50.50.46,21,10.64.105.160,2259,success,2017-11-01 07:42:16,1397
tds,10.50.50.29,54238,10.64.105.203,2166,success,2017-11-01 07:42:24,1417
postgresql,10.50.50.26,5432,10.64.105.137,1750,success,2017-11-01 07:47:11,1224
postgresql,10.50.50.46,5432,10.64.105.58,1609,success,2017-11-01 07:47:41,1457
ftp,10.50.50.26,21,10.64.105.9,1882,success,2017-11-01 07:48:17,1307
ftp,10.50.50.28,21,10.64.105.120,2032,success,2017-11-01 07:51:14,1102
sftp,10.50.50.29,22,10.64.105.72,1847,success,2017-11-01 07:54:03,1286
tds,10.50.50.35,54238,10.64.105.75,1931,success,2017-11-01 07:55:53,1359
postgresql,10.50.50.28,5432,10.64.106.20,1904,success,2017-11-01 07:56:43,1459
ftp,10.50.50.28,21,10.64.106.34,2157,success,2017-11-01 07:58:40,1210
tds,10.50.50.26,54238,10.64.106.45,1936,success,2017-11-01 08:00:30,1484
tds,10.50.50.45,54238,10.64.105.13,1934,success,2017-11-01 08:02:33,1493
ftp,10.50.50.48,21,10.64.105.100,2182,success,2017-11-01 08:02:43,1345
postgresql,10.50.50.26,5432,10.64.105.112,1551,success,2017-11-01 08:04:40,1456
ftp,10.50.50.28,21,10.64.105.160,2259,success,2017-11-01 08:05:44,1397
mysql,10.50.50.29,4443,10.64.105.249,2077,success,2017-11-01 08:08:00,1344
mongodb,10.50.50.28,8005,10.64.105.107,2201,success,2017-11-01 08:08:30,1145
postgresql,10.50.50.28,5432,10.64.105.143,1644,success,2017-11-01 08:08:44,1142
mysql,10.50.50.26,4443,10.64.105.203,2166,success,2017-11-01 08:08:50,1417
postgresql,10.50.50.26,5432,10.64.105.54,1762,success,2017-11-01 08:09:49,1257
ftp,10.50.50.46,21,10.64.105.116,2205,success,2017-11-01 08:10:00,1204
ftp,10.50.50.30,21,10.64.105.25,1987,success,2017-11-01 08:10:20,1154
tds,10.50.50.26,54238,10.64.105.250,1642,success,2017-11-01 08:11:54,1252
mongodb,10.7.133.20,8005,10.64.105.161,1569,success,2017-11-01 08:12:25,1351
