proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,4518,success,2017-11-17 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,2600,success,2017-11-17 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,2830,success,2017-11-17 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,3731,success,2017-11-17 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,5683,success,2017-11-17 02:00:00,root
postgresql,10.50.50.26,5432,10.64.105.242,1901,error,2017-11-17 07:04:02,1140
mysql,10.7.133.20,4443,10.64.105.160,1506,success,2017-11-17 07:09:48,1397
ssh,10.50.50.28,22,10.64.105.75,2364,success,2017-11-17 07:11:52,1359
tds,10.50.50.43,54238,10.64.105.107,2148,success,2017-11-17 07:17:00,1145
ftp,10.50.50.44,21,10.64.105.13,1507,success,2017-11-17 07:20:55,1493
sftp,10.50.50.26,22,10.64.106.34,2129,success,2017-11-17 07:23:14,1210
ftp,10.50.50.28,21,10.64.105.242,1901,success,2017-11-17 07:27:04,1140
ftp,10.50.50.26,21,10.64.105.112,2384,success,2017-11-17 07:28:23,1456
tds,10.50.50.26,54238,10.64.105.116,2286,error,2017-11-17 07:29:14,1204
mongodb,10.50.50.29,8005,10.64.105.160,1506,success,2017-11-17 07:40:33,1397
tds,10.50.50.36,54238,10.64.105.107,2148,success,2017-11-17 07:40:40,1145
postgresql,10.50.50.26,5432,10.64.105.203,2420,success,2017-11-17 07:41:52,1417
ftp,10.50.50.29,21,10.64.105.164,2252,success,2017-11-17 07:42:24,1167
mongodb,10.50.50.35,8005,10.64.105.75,2364,success,2017-11-17 07:42:44,1359
tds,10.50.50.29,54238,10.64.105.137,2354,success,2017-11-17 07:46:14,1224
ftp,10.50.50.40,21,10.64.105.58,2357,success,2017-11-17 07:46:34,1457
sftp,10.50.50.33,22,10.64.105.9,2347,success,2017-11-17 07:47:49,1307
mysql,10.50.50.26,4443,10.64.105.13,1507,success,2017-11-17 07:49:02,1493
postgresql,10.50.50.26,5432,10.64.105.72,1734,success,2017-11-17 07:49:39,1286
sftp,10.50.50.37,22,10.64.106.45,1641,success,2017-11-17 07:49:40,1484
ssh,10.50.50.26,22,10.64.105.242,1901,success,2017-11-17 07:52:38,1140
ssh,10.7.133.21,22,10.64.105.25,2176,success,2017-11-17 07:57:40,1154
postgresql,10.50.50.29,5432,10.64.105.36,2132,success,2017-11-17 08:00:37,1220
sftp,10.50.50.35,22,10.64.105.116,2286,success,2017-11-17 08:01:24,1204
sftp,10.50.50.43,22,10.64.105.112,2384,success,2017-11-17 08:03:00,1456
ftp,10.50.50.43,21,10.64.106.20,2371,success,2017-11-17 08:04:29,1459
sftp,10.50.50.41,22,10.64.105.75,2364,error,2017-11-17 08:06:12,1359
mongodb,10.50.50.43,8005,10.64.105.183,2186,success,2017-11-17 08:06:32,1254
ssh,10.50.50.29,22,10.64.105.250,2476,success,2017-11-17 08:08:13,1252
postgresql,10.50.50.43,5432,10.64.105.164,2252,success,2017-11-17 08:09:14,1167
ftp,10.50.50.28,21,10.64.105.100,2505,success,2017-11-17 08:09:35,1345
tds,10.50.50.44,54238,10.64.105.77,1988,error,2017-11-17 08:09:52,1127
postgresql,10.50.50.26,5432,10.64.105.249,2196,success,2017-11-17 08:10:03,1344
ssh,10.50.50.26,22,10.64.105.70,1527,success,2017-11-17 08:12:48,1330
tds,10.50.50.45,54238,10.64.105.13,1507,success,2017-11-17 08:13:13,1493
postgresql,10.7.133.16,5432,10.64.105.72,1734,success,2017-11-17 08:16:10,1286
sftp,10.50.50.28,22,10.64.106.34,2129,error,2017-11-17 08:16:33,1210
mysql,10.50.50.28,4443,10.64.105.160,1506,success,2017-11-17 08:17:32,1397
mongodb,10.50.50.28,8005,10.64.106.25,2170,success,2017-11-17 08:17:46,1296
ssh,10.50.50.26,22,10.64.105.210,1618,success,2017-11-17 08:18:07,1495
mongodb,10.7.133.19,8005,10.64.105.73,2077,success,2017-11-17 08:18:21,1151
tds,10.50.50.26,54238,10.64.105.203,2420,success,2017-11-17 08:18:27,1417
tds,10.50.50.28,54238,10.64.105.107,2148,success,2017-11-17 08:19:33,1145
ssh,10.50.50.26,22,10.64.105.68,1572,success,2017-11-17 08:19:45,1098
ftp,10.7.133.15,21,10.64.105.161,2098,success,2017-11-17 08:20:24,1351
sftp,10.50.50.26,22,10.64.105.58,2357,success,2017-11-17 08:20:55,1457
mongodb,10.50.50.26,8005,10.64.105.57,1735,success,2017-11-17 08:22:00,1177
tds,10.50.50.26,54238,10.64.105.36,2132,success,2017-11-17 08:22:58,1220
