id,day,checkin,checkout
1067,2017-11-10,0,0
1007,2017-11-10,0,0
1228,2017-11-10,0,0
1282,2017-11-10,0,0
1119,2017-11-10,0,0
1323,2017-11-10,0,0
1351,2017-11-10,0,0
1013,2017-11-10,0,0
1098,2017-11-10,0,0
1041,2017-11-10,0,0
1370,2017-11-10,2017-11-10 06:23:23,2017-11-10 17:56:14
1137,2017-11-10,2017-11-10 06:49:41,2017-11-10 21:06:06
1180,2017-11-10,2017-11-10 06:54:23,2017-11-10 17:22:35
1253,2017-11-10,2017-11-10 06:58:27,2017-11-10 17:17:12
1140,2017-11-10,2017-11-10 07:05:02,2017-11-10 18:24:45
1493,2017-11-10,2017-11-10 07:14:36,2017-11-10 18:03:11
1102,2017-11-10,2017-11-10 07:16:28,2017-11-10 19:08:53
1359,2017-11-10,2017-11-10 07:21:03,2017-11-10 19:45:22
1397,2017-11-10,2017-11-10 07:22:51,2017-11-10 20:52:33
1145,2017-11-10,2017-11-10 07:23:12,2017-11-10 22:05:46
1204,2017-11-10,2017-11-10 07:26:17,2017-11-10 18:08:32
1186,2017-11-10,2017-11-10 07:27:02,2017-11-10 17:43:10
1456,2017-11-10,2017-11-10 07:28:25,2017-11-10 19:04:53
1210,2017-11-10,2017-11-10 07:29:35,2017-11-10 20:07:29
1431,2017-11-10,2017-11-10 07:29:51,2017-11-10 19:38:44
1167,2017-11-10,2017-11-10 07:31:33,2017-11-10 19:13:12
1257,2017-11-10,2017-11-10 07:33:42,2017-11-10 19:05:01
1342,2017-11-10,2017-11-10 07:36:41,2017-11-10 19:08:26
1417,2017-11-10,2017-11-10 07:37:55,2017-11-10 20:52:20
1467,2017-11-10,2017-11-10 07:38:53,2017-11-10 19:26:50
1484,2017-11-10,2017-11-10 07:39:24,2017-11-10 20:49:40
1224,2017-11-10,2017-11-10 07:41:11,2017-11-10 19:24:19
1327,2017-11-10,2017-11-10 07:46:30,2017-11-10 20:14:33
1220,2017-11-10,2017-11-10 07:46:32,2017-11-10 20:13:16
1307,2017-11-10,2017-11-10 07:47:12,2017-11-10 19:17:14
1124,2017-11-10,2017-11-10 07:48:59,2017-11-10 18:03:51
1368,2017-11-10,2017-11-10 07:50:39,2017-11-10 17:00:37
1255,2017-11-10,2017-11-10 07:51:18,2017-11-10 19:28:53
1451,2017-11-10,2017-11-10 07:52:04,2017-11-10 19:31:52
1457,2017-11-10,2017-11-10 07:52:11,2017-11-10 19:24:52
1154,2017-11-10,2017-11-10 07:54:01,2017-11-10 19:14:41
1369,2017-11-10,2017-11-10 07:54:14,2017-11-10 17:36:16
1347,2017-11-10,2017-11-10 07:54:52,2017-11-10 17:54:59
1498,2017-11-10,2017-11-10 07:55:28,2017-11-10 18:34:58
1213,2017-11-10,2017-11-10 07:56:52,2017-11-10 18:19:48
1293,2017-11-10,2017-11-10 07:58:42,2017-11-10 20:43:22
1439,2017-11-10,2017-11-10 07:58:43,2017-11-10 18:33:17
1248,2017-11-10,2017-11-10 07:59:08,2017-11-10 17:20:44
1286,2017-11-10,2017-11-10 07:59:17,2017-11-10 20:20:06
1108,2017-11-10,2017-11-10 08:01:48,2017-11-10 18:28:51
1226,2017-11-10,2017-11-10 08:05:23,2017-11-10 16:59:30
1346,2017-11-10,2017-11-10 08:05:31,2017-11-10 18:21:35
1151,2017-11-10,2017-11-10 08:06:20,2017-11-10 21:05:40
1491,2017-11-10,2017-11-10 08:06:46,2017-11-10 21:03:55
1344,2017-11-10,2017-11-10 08:09:44,2017-11-10 18:17:48
1495,2017-11-10,2017-11-10 08:09:45,2017-11-10 18:50:09
1252,2017-11-10,2017-11-10 08:09:57,2017-11-10 18:32:08
1142,2017-11-10,2017-11-10 08:10:18,2017-11-10 22:09:35
1251,2017-11-10,2017-11-10 08:10:35,2017-11-10 19:58:02
1127,2017-11-10,2017-11-10 08:11:43,2017-11-10 19:13:24
1330,2017-11-10,2017-11-10 08:12:09,2017-11-10 18:34:06
1254,2017-11-10,2017-11-10 08:12:26,2017-11-10 20:00:52
1296,2017-11-10,2017-11-10 08:13:32,2017-11-10 20:51:51
1207,2017-11-10,2017-11-10 08:15:17,2017-11-10 19:24:18
1345,2017-11-10,2017-11-10 08:17:16,2017-11-10 18:57:42
1486,2017-11-10,2017-11-10 08:18:32,2017-11-10 18:59:49
1182,2017-11-10,2017-11-10 08:20:45,2017-11-10 19:36:57
1147,2017-11-10,2017-11-10 08:21:52,2017-11-10 18:44:56
1104,2017-11-10,2017-11-10 08:22:08,2017-11-10 19:42:49
1466,2017-11-10,2017-11-10 08:23:30,2017-11-10 18:37:04
1165,2017-11-10,2017-11-10 08:23:42,2017-11-10 21:01:24
1306,2017-11-10,2017-11-10 08:23:56,2017-11-10 19:05:28
1393,2017-11-10,2017-11-10 08:24:22,2017-11-10 15:41:48
1126,2017-11-10,2017-11-10 08:24:53,2017-11-10 20:42:56
1312,2017-11-10,2017-11-10 08:24:55,2017-11-10 18:52:26
1496,2017-11-10,2017-11-10 08:25:30,2017-11-10 21:22:09
1205,2017-11-10,2017-11-10 08:26:14,2017-11-10 19:41:26
1125,2017-11-10,2017-11-10 08:26:20,2017-11-10 18:32:52
1449,2017-11-10,2017-11-10 08:26:29,2017-11-10 19:07:36
1177,2017-11-10,2017-11-10 08:26:50,2017-11-10 20:28:08
1265,2017-11-10,2017-11-10 08:26:55,2017-11-10 18:38:17
1455,2017-11-10,2017-11-10 08:27:08,2017-11-10 18:52:06
1209,2017-11-10,2017-11-10 08:27:21,2017-11-10 21:06:22
1191,2017-11-10,2017-11-10 08:27:37,2017-11-10 19:28:37
1199,2017-11-10,2017-11-10 08:28:03,2017-11-10 18:19:21
1435,2017-11-10,2017-11-10 08:28:44,2017-11-10 20:07:31
1270,2017-11-10,2017-11-10 08:28:48,2017-11-10 20:10:34
1299,2017-11-10,2017-11-10 08:29:06,2017-11-10 18:49:55
1428,2017-11-10,2017-11-10 08:29:37,2017-11-10 18:09:31
1100,2017-11-10,2017-11-10 08:29:55,2017-11-10 18:32:12
1490,2017-11-10,2017-11-10 08:30:17,2017-11-10 18:52:03
1483,2017-11-10,2017-11-10 08:30:18,2017-11-10 18:13:19
1396,2017-11-10,2017-11-10 08:30:35,2017-11-10 21:09:36
1406,2017-11-10,2017-11-10 08:30:55,2017-11-10 18:57:25
1336,2017-11-10,2017-11-10 08:31:53,2017-11-10 21:05:54
1197,2017-11-10,2017-11-10 08:32:14,2017-11-10 18:14:21
1106,2017-11-10,2017-11-10 08:32:20,2017-11-10 21:15:38
1477,2017-11-10,2017-11-10 08:33:17,2017-11-10 20:41:36
1349,2017-11-10,2017-11-10 08:33:25,2017-11-10 18:21:35
1115,2017-11-10,2017-11-10 08:34:01,2017-11-10 20:46:49
1189,2017-11-10,2017-11-10 08:34:23,2017-11-10 18:29:33
1348,2017-11-10,2017-11-10 08:35:16,2017-11-10 21:19:25
1425,2017-11-10,2017-11-10 08:35:38,2017-11-10 18:51:07
1429,2017-11-10,2017-11-10 08:35:47,2017-11-10 19:24:42
1321,2017-11-10,2017-11-10 08:35:48,2017-11-10 18:48:34
1305,2017-11-10,2017-11-10 08:36:12,2017-11-10 20:28:45
1313,2017-11-10,2017-11-10 08:36:16,2017-11-10 20:12:49
1221,2017-11-10,2017-11-10 08:36:43,2017-11-10 22:00:52
1399,2017-11-10,2017-11-10 08:37:48,2017-11-10 19:07:07
1423,2017-11-10,2017-11-10 08:38:14,2017-11-10 18:06:43
1277,2017-11-10,2017-11-10 08:39:08,2017-11-10 19:14:11
1087,2017-11-10,2017-11-10 08:39:41,2017-11-10 18:59:58
1446,2017-11-10,2017-11-10 08:39:47,2017-11-10 21:22:50
1129,2017-11-10,2017-11-10 08:40:10,2017-11-10 19:12:36
1275,2017-11-10,2017-11-10 08:40:34,2017-11-10 19:18:19
1134,2017-11-10,2017-11-10 08:41:11,2017-11-10 18:40:39
1103,2017-11-10,2017-11-10 08:41:20,2017-11-10 20:53:08
1371,2017-11-10,2017-11-10 08:42:19,2017-11-10 15:55:08
1480,2017-11-10,2017-11-10 08:42:27,2017-11-10 20:06:57
1149,2017-11-10,2017-11-10 08:42:33,2017-11-10 19:04:30
1471,2017-11-10,2017-11-10 08:43:19,2017-11-10 18:45:07
1473,2017-11-10,2017-11-10 08:43:55,2017-11-10 19:27:14
1169,2017-11-10,2017-11-10 08:43:55,2017-11-10 20:34:57
1420,2017-11-10,2017-11-10 08:44:36,2017-11-10 19:12:45
1303,2017-11-10,2017-11-10 08:44:47,2017-11-10 19:29:45
1152,2017-11-10,2017-11-10 08:44:50,2017-11-10 19:32:35
