time,sip,sport,dip,dport,host
2017-11-05 09:00:25,10.64.106.10,1888,74.86.12.172,8080,www.google.com
2017-11-05 09:00:40,10.64.106.13,2421,203.188.200.67,443,www.yahoo.com
2017-11-05 09:10:29,10.64.105.89,1572,74.86.12.172,8080,www.google.com
2017-11-05 09:14:26,10.64.105.88,2023,10.63.120.70,443,OA.hightech.com
2017-11-05 10:07:58,10.64.105.16,2220,128.30.52.100,443,www.w3.org
2017-11-05 10:11:25,10.64.106.24,2212,10.50.50.26,443,git.hightech.com
2017-11-05 10:13:59,10.64.106.6,2617,10.5.71.60,443,email.hightech.com
2017-11-05 10:15:16,10.64.105.92,1716,10.50.50.27,443,jira.hightech.com
2017-11-05 10:18:39,10.64.106.13,3077,10.5.71.60,443,email.hightech.com
2017-11-05 10:23:24,10.64.105.89,2226,74.86.12.172,8080,www.google.com
2017-11-05 10:25:23,10.64.106.6,2422,58.68.226.195,443,rayli.com.cn
2017-11-05 10:25:24,10.64.106.13,2720,140.205.62.20,80,ai.taobao.com
2017-11-05 10:27:27,10.64.106.10,2209,106.11.47.20,443,www.tudou.com
2017-11-05 10:27:32,10.64.105.89,1596,74.86.12.172,8080,www.google.com
2017-11-05 10:29:42,10.64.106.43,1693,140.205.62.20,80,ai.taobao.com
2017-11-05 10:29:50,10.64.106.6,2353,101.227.176.45,443,www.icbc.com.cn
2017-11-05 10:32:11,10.64.105.88,2459,10.5.71.60,443,email.hightech.com
2017-11-05 10:34:06,10.64.106.9,2692,10.5.71.60,443,email.hightech.com
2017-11-05 10:37:50,10.64.105.89,1705,74.86.12.172,8080,www.google.com
2017-11-05 10:39:21,10.64.105.88,2560,10.5.71.60,443,email.hightech.com
2017-11-05 10:39:46,10.64.106.43,2246,10.5.71.60,443,email.hightech.com
2017-11-05 10:41:59,10.64.105.88,2516,106.11.47.20,443,www.tudou.com
2017-11-05 10:45:42,10.64.106.9,2905,10.5.71.60,443,email.hightech.com
2017-11-05 10:47:10,10.64.106.9,2544,14.215.138.36,8080,www.qidian.com
2017-11-05 10:48:05,10.64.105.89,1806,10.5.71.60,443,email.hightech.com
2017-11-05 10:48:22,10.64.106.43,2395,117.79.133.11,80,www.yaolan.com
2017-11-05 10:49:32,10.64.106.6,2752,10.63.120.70,443,OA.hightech.com
2017-11-05 10:51:04,10.64.105.89,2078,10.5.71.60,443,email.hightech.com
2017-11-05 10:56:28,10.64.106.13,2621,10.5.71.60,443,email.hightech.com
2017-11-05 11:02:29,10.64.106.9,3073,14.215.138.36,8080,www.qidian.com
2017-11-05 11:02:34,10.64.106.43,1566,117.79.133.11,80,www.yaolan.com
2017-11-05 11:02:38,10.64.105.88,2278,115.159.231.166,80,www.58.com
2017-11-05 11:03:04,10.64.106.43,1533,74.86.12.172,8080,www.google.com
2017-11-05 11:04:47,10.64.105.76,2903,10.50.50.29,443,lib02.hightech.com
2017-11-05 11:07:43,10.64.105.92,1870,10.5.71.60,443,email.hightech.com
2017-11-05 11:08:09,10.64.105.88,2191,220.181.112.244,443,www.baidu.com
2017-11-05 11:09:34,10.64.105.187,1941,10.5.71.60,443,email.hightech.com
2017-11-05 11:10:51,10.64.105.92,2120,10.7.133.15,80,
2017-11-05 11:13:32,10.64.106.24,2809,104.28.8.49,443,www.vpsee.com
2017-11-05 11:13:57,10.64.106.10,2026,114.80.223.61,443,video.sina.com.cn
2017-11-05 11:14:22,10.64.106.43,2054,10.5.71.60,443,email.hightech.com
2017-11-05 11:14:30,10.64.106.10,2300,10.63.120.70,443,OA.hightech.com
2017-11-05 11:14:37,10.64.105.150,2163,10.63.120.70,443,OA.hightech.com
2017-11-05 11:14:49,10.64.105.190,2085,151.101.229.147,443,zwmin.com
2017-11-05 11:14:55,10.64.105.76,2827,10.50.50.46,59000,
2017-11-05 11:18:39,10.64.105.16,2700,114.80.130.60,80,sports.sohu.com
2017-11-05 11:19:18,10.64.106.13,2457,10.5.71.60,443,email.hightech.com
2017-11-05 11:19:21,10.64.106.10,2202,10.63.120.70,443,OA.hightech.com
2017-11-05 11:19:31,10.64.106.10,1925,115.238.190.238,443,bbs.sina.com.cn
2017-11-05 11:20:23,10.64.105.88,2710,10.5.71.60,443,email.hightech.com
2017-11-05 11:21:06,10.64.106.9,2817,14.215.138.36,8080,www.qidian.com
2017-11-05 11:21:42,10.64.106.24,2259,10.50.50.40,61000,
2017-11-05 11:21:46,10.64.105.150,2324,10.5.71.60,443,email.hightech.com
2017-11-05 11:23:12,10.64.106.13,3245,10.63.120.70,443,OA.hightech.com
2017-11-05 11:23:53,10.64.106.9,2374,10.5.71.60,443,email.hightech.com
2017-11-05 11:24:12,10.64.105.76,2685,14.215.138.36,80,www.readnovel.com
2017-11-05 11:24:15,10.64.106.6,2864,10.5.71.60,443,email.hightech.com
2017-11-05 11:25:17,10.64.105.16,2601,10.63.120.70,443,OA.hightech.com
2017-11-05 11:27:09,10.64.105.16,2317,10.50.50.26,443,git.hightech.com
2017-11-05 11:31:12,10.64.105.150,2394,10.63.120.70,443,OA.hightech.com
2017-11-05 11:31:19,10.64.105.142,2443,10.7.133.16,80,
2017-11-05 11:32:10,10.64.105.150,2775,111.225.222.134,443,www.mypm.net
2017-11-05 11:33:23,10.64.106.6,2202,10.63.120.70,443,OA.hightech.com
2017-11-05 11:34:02,10.64.106.6,2326,114.80.223.61,443,video.sina.com.cn
2017-11-05 11:37:14,10.64.105.190,1978,10.50.50.28,443,lib01.hightech.com
2017-11-05 11:37:51,10.64.106.10,2123,114.80.223.61,443,video.sina.com.cn
2017-11-05 11:39:11,10.64.106.13,2991,10.5.71.60,443,email.hightech.com
2017-11-05 11:39:41,10.64.106.43,1797,140.205.62.20,80,ai.taobao.com
2017-11-05 11:39:51,10.64.106.9,2271,10.5.71.60,443,email.hightech.com
2017-11-05 11:40:04,10.64.105.92,1793,10.50.50.28,443,lib01.hightech.com
2017-11-05 11:43:11,10.64.106.6,2530,101.227.176.45,443,www.icbc.com.cn
2017-11-05 11:46:37,10.64.106.13,3152,10.5.71.60,443,email.hightech.com
2017-11-05 11:47:05,10.64.106.13,2493,203.188.200.67,443,www.yahoo.com
2017-11-05 11:49:17,10.64.106.24,2708,116.251.204.42,443,www.ruanyifeng.com/blog/
2017-11-05 11:49:56,10.64.105.16,2567,10.63.120.70,443,OA.hightech.com
2017-11-05 11:50:20,10.64.105.16,2778,10.50.50.41,59100,
