stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-05 02:00:00,2017-11-05 02:00:10,smtp,10.7.133.19,25,10.50.50.31,4414,7637,6072
2017-11-05 02:00:00,2017-11-05 02:00:10,smtp,10.7.133.21,25,10.50.50.26,3685,4115,7632
2017-11-05 02:00:00,2017-11-05 02:00:20,smtp,10.7.133.16,25,10.50.50.37,5268,5369,6410
2017-11-05 02:00:00,2017-11-05 02:00:10,smtp,10.7.133.17,25,10.50.50.44,3319,5488,4184
2017-11-05 02:00:00,2017-11-05 02:00:10,smtp,10.7.133.16,25,10.50.50.46,5274,7480,6360
2017-11-05 02:00:10,2017-11-05 02:00:13,ssh,10.7.133.16,22,10.50.50.46,5274,6129,627
2017-11-05 02:00:12,2017-11-05 02:00:16,ssh,10.7.133.16,22,10.50.50.37,5268,4140,3013
2017-11-05 02:00:14,2017-11-05 02:00:17,ssh,10.7.133.16,22,10.50.50.46,5274,5355,2423
2017-11-05 02:00:15,2017-11-05 02:00:17,ssh,10.7.133.16,22,10.50.50.37,5268,5509,4048
2017-11-05 02:00:16,2017-11-05 02:00:20,ssh,10.7.133.16,22,10.50.50.37,5268,6408,1016
2017-11-05 02:00:19,2017-11-05 02:00:24,ssh,10.7.133.16,22,10.50.50.46,5274,7296,615
2017-11-05 02:00:20,2017-11-05 02:00:20,ssh,10.7.133.19,22,10.50.50.31,4414,4332,2965
2017-11-05 02:00:20,2017-11-05 02:00:22,ssh,10.7.133.19,22,10.50.50.31,4414,8095,3298
2017-11-05 02:00:20,2017-11-05 02:00:22,ssh,10.7.133.19,22,10.50.50.31,4414,5728,659
2017-11-05 02:00:20,2017-11-05 02:00:25,ssh,10.7.133.21,22,10.50.50.26,3685,7032,3348
2017-11-05 02:00:20,2017-11-05 02:00:21,ssh,10.7.133.16,22,10.50.50.37,5268,6695,1380
2017-11-05 02:00:21,2017-11-05 02:00:24,ssh,10.7.133.17,22,10.50.50.44,3319,5747,64
2017-11-05 02:00:21,2017-11-05 02:00:26,ssh,10.7.133.21,22,10.50.50.26,3685,4886,706
2017-11-05 02:00:21,2017-11-05 02:00:24,ssh,10.7.133.19,22,10.50.50.31,4414,6866,1541
2017-11-05 02:00:22,2017-11-05 02:00:24,ssh,10.7.133.16,22,10.50.50.46,5274,7971,4000
2017-11-05 02:00:22,2017-11-05 02:00:26,ssh,10.7.133.19,22,10.50.50.31,4414,6552,3961
2017-11-05 02:00:24,2017-11-05 02:00:28,ssh,10.7.133.17,22,10.50.50.44,3319,7328,2297
2017-11-05 02:00:26,2017-11-05 02:00:27,ssh,10.7.133.19,22,10.50.50.31,4414,7774,921
2017-11-05 02:00:28,2017-11-05 02:00:29,ssh,10.7.133.17,22,10.50.50.44,3319,5350,3239
2017-11-05 02:00:33,2017-11-05 02:00:37,ssh,10.7.133.17,22,10.50.50.44,3319,7941,3787
2017-11-05 02:00:34,2017-11-05 02:00:39,ssh,10.7.133.17,22,10.50.50.44,3319,4788,3819
2017-11-05 02:00:38,2017-11-05 02:00:42,ssh,10.7.133.17,22,10.50.50.44,3319,5451,3587
2017-11-05 08:32:55,2017-11-05 08:33:05,ssh,219.216.128.25,22,10.50.50.26,5201,60000814,3149
2017-11-05 08:32:55,2017-11-05 08:33:05,tds,10.50.50.26,54238,10.64.105.76,2504,3706,545
2017-11-05 08:33:05,2017-11-05 08:33:15,ssh,219.216.128.25,22,10.50.50.26,5408,60006013,651
2017-11-05 08:33:15,2017-11-05 08:33:25,tds,10.50.50.26,54238,10.64.105.76,2504,180000899,2859
2017-11-05 08:33:25,2017-11-05 08:33:35,ssh,219.216.128.25,22,10.50.50.26,5317,80002665,8574
2017-11-05 08:41:22,2017-11-05 08:41:32,mongodb,10.50.50.26,8005,10.64.105.190,1966,1595,120
2017-11-05 08:43:28,2017-11-05 08:43:38,postgresql,10.50.50.40,5432,10.64.106.24,2211,469,4339
2017-11-05 08:43:28,2017-11-05 08:43:38,postgresql,10.50.50.40,5432,10.64.106.24,2211,2373,90003820
2017-11-05 08:43:38,2017-11-05 08:43:48,ssh,219.216.128.25,22,10.50.50.40,5482,100001806,258
2017-11-05 08:43:48,2017-11-05 08:43:58,postgresql,10.50.50.40,5432,10.64.106.24,2211,90000489,138
2017-11-05 08:43:58,2017-11-05 08:44:08,postgresql,10.50.50.40,5432,10.64.106.24,2211,120008962,5006
2017-11-05 08:51:54,2017-11-05 08:52:04,mysql,10.7.133.22,4443,10.64.105.150,2124,2513,4703
2017-11-05 08:52:09,2017-11-05 08:52:19,sftp,10.50.50.26,22,10.64.105.92,1706,4986,7455
2017-11-05 08:52:09,2017-11-05 08:52:19,sftp,10.50.50.26,22,10.64.105.92,1706,4387,150004931
2017-11-05 08:52:19,2017-11-05 08:52:29,sftp,10.50.50.26,22,10.64.105.92,1706,30005177,339
2017-11-05 08:52:29,2017-11-05 08:52:39,sftp,10.50.50.26,22,10.64.105.92,1706,6345,180002224
2017-11-05 08:53:15,2017-11-05 08:53:25,ftp,10.50.50.26,21,10.64.105.187,1938,1587,180006568
2017-11-05 08:53:15,2017-11-05 08:53:25,ftp,10.50.50.26,21,10.64.105.187,1938,3047,8401
2017-11-05 08:55:10,2017-11-05 08:55:20,sftp,10.50.50.28,22,10.64.105.76,2504,1209,7294
2017-11-05 08:55:10,2017-11-05 08:55:20,sftp,10.50.50.28,22,10.64.105.76,2504,210007040,7325
2017-11-05 08:55:20,2017-11-05 08:55:30,sftp,10.50.50.28,22,10.64.105.76,2504,210007953,5495
2017-11-05 09:00:25,2017-11-05 09:01:04,http,74.86.12.172,8080,10.64.106.10,1888,14132,387067
2017-11-05 09:00:40,2017-11-05 09:01:16,http,203.188.200.67,443,10.64.106.13,2421,3714,4356061
2017-11-05 09:00:41,2017-11-05 09:01:14,http,74.86.12.172,8080,10.64.106.10,1889,47679,364812
