proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,3640,success,2017-11-14 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,3354,success,2017-11-14 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,5064,success,2017-11-14 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,4328,success,2017-11-14 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,2507,success,2017-11-14 02:00:00,root
mongodb,10.50.50.46,8005,10.64.105.242,2076,success,2017-11-14 07:04:24,1140
tds,10.50.50.26,54238,10.64.105.75,2110,success,2017-11-14 07:12:43,1359
mongodb,10.50.50.26,8005,10.64.105.107,1811,error,2017-11-14 07:16:18,1145
ssh,10.50.50.28,22,10.64.105.120,1787,success,2017-11-14 07:16:19,1102
tds,10.50.50.26,54238,10.64.105.160,1936,success,2017-11-14 07:17:06,1397
ftp,10.50.50.41,21,10.64.105.13,1813,success,2017-11-14 07:19:24,1493
tds,10.7.133.15,54238,10.64.105.112,2274,success,2017-11-14 07:28:10,1456
ssh,10.50.50.26,22,10.64.105.116,1870,success,2017-11-14 07:31:08,1204
ssh,10.7.133.18,22,10.64.106.34,2338,success,2017-11-14 07:37:00,1210
sftp,10.50.50.26,22,10.64.105.242,2076,success,2017-11-14 07:37:11,1140
tds,10.50.50.29,54238,10.64.105.54,2064,success,2017-11-14 07:37:49,1257
tds,10.7.133.15,54238,10.64.105.203,2265,success,2017-11-14 07:40:30,1417
mongodb,10.50.50.26,8005,10.64.105.164,1668,error,2017-11-14 07:44:13,1167
ssh,10.50.50.29,22,10.64.105.107,1811,success,2017-11-14 07:44:14,1145
sftp,10.50.50.26,22,10.64.105.120,1787,success,2017-11-14 07:44:20,1102
sftp,10.50.50.49,22,10.64.105.9,2086,success,2017-11-14 07:47:01,1307
postgresql,10.50.50.29,5432,10.64.105.137,2230,success,2017-11-14 07:47:01,1224
mongodb,10.50.50.26,8005,10.64.106.20,1976,success,2017-11-14 07:47:57,1459
postgresql,10.50.50.44,5432,10.64.105.13,1813,success,2017-11-14 07:49:49,1493
sftp,10.50.50.29,22,10.64.105.160,1936,success,2017-11-14 07:50:10,1397
tds,10.50.50.28,54238,10.64.105.116,1870,success,2017-11-14 07:52:50,1204
postgresql,10.7.133.16,5432,10.64.105.72,1763,success,2017-11-14 07:53:12,1286
mysql,10.50.50.28,4443,10.64.106.45,2326,success,2017-11-14 07:55:26,1484
mysql,10.50.50.28,4443,10.64.105.112,2274,success,2017-11-14 07:56:36,1456
ftp,10.50.50.43,21,10.64.105.25,2358,success,2017-11-14 07:58:21,1154
mongodb,10.50.50.26,8005,10.64.105.54,2064,success,2017-11-14 07:58:26,1257
mysql,10.50.50.26,4443,10.64.106.34,2338,error,2017-11-14 07:58:40,1210
ftp,10.7.133.15,21,10.64.105.36,2075,error,2017-11-14 07:59:01,1220
postgresql,10.7.133.18,5432,10.64.105.242,2076,success,2017-11-14 08:00:47,1140
ssh,10.50.50.29,22,10.64.105.203,2265,error,2017-11-14 08:01:28,1417
ftp,10.50.50.26,21,10.64.105.75,2110,success,2017-11-14 08:06:17,1359
ssh,10.50.50.49,22,10.64.105.143,1626,success,2017-11-14 08:09:54,1142
ftp,10.50.50.29,21,10.64.105.183,1701,success,2017-11-14 08:10:36,1254
postgresql,10.7.133.15,5432,10.64.105.249,2200,success,2017-11-14 08:10:57,1344
ftp,10.50.50.41,21,10.64.106.25,1783,success,2017-11-14 08:11:24,1296
ssh,10.50.50.26,22,10.64.105.210,1971,success,2017-11-14 08:13:26,1495
ftp,10.50.50.26,21,10.64.105.161,2320,success,2017-11-14 08:13:27,1351
sftp,10.50.50.29,22,10.64.105.9,2086,success,2017-11-14 08:14:44,1307
mongodb,10.50.50.26,8005,10.64.105.74,2108,success,2017-11-14 08:15:20,1486
mysql,10.50.50.29,4443,10.64.105.100,2255,success,2017-11-14 08:15:22,1345
mongodb,10.50.50.28,8005,10.64.105.70,1615,success,2017-11-14 08:15:23,1330
sftp,10.50.50.28,22,10.64.105.72,1763,success,2017-11-14 08:15:51,1286
postgresql,10.50.50.29,5432,10.64.105.213,2498,error,2017-11-14 08:16:22,1491
mongodb,10.7.133.15,8005,10.64.105.77,2121,success,2017-11-14 08:18:58,1127
ftp,10.7.133.15,21,10.64.105.120,1787,success,2017-11-14 08:19:12,1102
tds,10.50.50.29,54238,10.64.105.107,1811,success,2017-11-14 08:19:26,1145
mysql,10.50.50.28,4443,10.64.105.36,2075,success,2017-11-14 08:19:44,1220
postgresql,10.50.50.40,5432,10.64.105.80,1569,success,2017-11-14 08:19:44,1182
sftp,10.50.50.33,22,10.64.105.68,1629,success,2017-11-14 08:20:07,1098
mysql,10.50.50.28,4443,10.64.106.21,1557,success,2017-11-14 08:20:35,1449
ftp,10.50.50.49,21,10.64.106.45,2326,success,2017-11-14 08:20:55,1484
mysql,10.50.50.46,4443,10.64.105.73,2334,error,2017-11-14 08:21:02,1151
ftp,10.50.50.28,21,10.64.106.36,2499,success,2017-11-14 08:21:37,1147
ftp,10.50.50.31,21,10.64.105.57,1530,success,2017-11-14 08:22:51,1177
ftp,10.7.133.15,21,10.64.105.164,1668,success,2017-11-14 08:23:52,1167
tds,10.50.50.29,54238,10.64.106.20,1976,success,2017-11-14 08:24:05,1459
tds,10.50.50.28,54238,10.64.105.250,2066,success,2017-11-14 08:24:08,1252
mysql,10.50.50.31,4443,10.64.105.129,2121,success,2017-11-14 08:24:18,1207
mongodb,10.50.50.29,8005,10.64.105.110,2433,success,2017-11-14 08:24:23,1270
mysql,10.50.50.41,4443,10.64.105.13,1813,success,2017-11-14 08:25:29,1493
postgresql,10.50.50.37,5432,10.64.105.203,2265,success,2017-11-14 08:25:53,1417
mysql,10.50.50.26,4443,10.64.105.41,1967,success,2017-11-14 08:25:54,1477
sftp,10.50.50.37,22,10.64.105.137,2230,success,2017-11-14 08:26:00,1224
postgresql,10.50.50.28,5432,10.64.105.233,2300,success,2017-11-14 08:26:16,1125
ssh,10.7.133.15,22,10.64.106.51,2012,error,2017-11-14 08:26:35,1466
sftp,10.50.50.26,22,10.64.105.227,1858,success,2017-11-14 08:26:43,1246
postgresql,10.50.50.28,5432,10.64.105.148,2356,success,2017-11-14 08:27:48,1406
postgresql,10.50.50.26,5432,10.64.105.159,2398,success,2017-11-14 08:27:49,1336
ftp,10.50.50.29,21,10.64.105.116,1870,success,2017-11-14 08:28:20,1204
ssh,10.50.50.48,22,10.64.106.31,2128,success,2017-11-14 08:28:33,1126
postgresql,10.50.50.40,5432,10.64.106.34,2338,success,2017-11-14 08:28:42,1210
ftp,10.50.50.29,21,10.64.105.189,2472,success,2017-11-14 08:28:58,1429
tds,10.50.50.26,54238,10.64.105.245,2022,success,2017-11-14 08:29:24,1191
postgresql,10.50.50.26,5432,10.64.105.65,1547,success,2017-11-14 08:29:37,1428
mysql,10.50.50.29,4443,10.64.106.39,2389,success,2017-11-14 08:29:47,1321
postgresql,10.7.133.19,5432,10.64.105.163,2090,success,2017-11-14 08:29:48,1348
ftp,10.7.133.20,21,10.64.105.160,1936,error,2017-11-14 08:29:49,1397
ftp,10.50.50.28,21,10.64.105.242,2076,success,2017-11-14 08:30:02,1140
postgresql,10.50.50.28,5432,10.64.106.35,1786,error,2017-11-14 08:30:20,1435
mysql,10.50.50.44,4443,10.64.105.25,2358,success,2017-11-14 08:31:04,1154
sftp,10.50.50.26,22,10.64.105.177,2264,success,2017-11-14 08:31:10,1483
sftp,10.50.50.48,22,10.64.105.145,1726,success,2017-11-14 08:31:31,1496
mysql,10.50.50.26,4443,10.64.105.234,2300,success,2017-11-14 08:32:02,1396
sftp,10.50.50.28,22,10.64.105.27,1703,success,2017-11-14 08:32:33,1205
ssh,10.50.50.40,22,10.64.105.200,1568,error,2017-11-14 08:32:34,1299
mysql,10.50.50.34,4443,10.64.105.138,1981,error,2017-11-14 08:33:01,1382
mysql,10.7.133.16,4443,10.64.105.121,1670,success,2017-11-14 08:33:04,1209
ssh,10.50.50.43,22,10.64.105.112,2274,success,2017-11-14 08:33:24,1456
mongodb,10.50.50.29,8005,10.64.105.216,2263,success,2017-11-14 08:33:44,1199
ssh,10.50.50.28,22,10.64.105.238,2488,success,2017-11-14 08:34:05,1115
mongodb,10.50.50.28,8005,10.64.105.104,1615,success,2017-11-14 08:34:13,1197
ftp,10.7.133.18,21,10.64.105.176,2422,success,2017-11-14 08:35:58,1490
ssh,10.7.133.16,22,10.64.105.229,2379,success,2017-11-14 08:36:13,1455
ftp,10.50.50.29,21,10.64.105.76,1547,success,2017-11-14 08:36:22,1305
mysql,10.50.50.28,4443,10.64.105.170,2188,success,2017-11-14 08:36:56,1265
postgresql,10.50.50.49,5432,10.64.105.62,1735,success,2017-11-14 08:37:05,1106
ftp,10.50.50.26,21,10.64.105.209,2060,success,2017-11-14 08:37:30,1134
ssh,10.50.50.33,22,10.64.105.131,2178,success,2017-11-14 08:38:23,1278
postgresql,10.50.50.26,5432,10.64.105.54,2064,success,2017-11-14 08:38:23,1257
sftp,10.50.50.26,22,10.64.105.127,1824,success,2017-11-14 08:38:29,1221
tds,10.50.50.40,54238,10.64.105.31,1847,success,2017-11-14 08:38:50,1100
ssh,10.50.50.48,22,10.64.105.100,2255,success,2017-11-14 08:38:56,1345
sftp,10.50.50.26,22,10.64.105.158,2337,success,2017-11-14 08:39:30,1481
ssh,10.50.50.37,22,10.64.106.47,1588,success,2017-11-14 08:39:31,1393
