proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,4718,success,2017-11-27 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,3535,success,2017-11-27 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,3552,success,2017-11-27 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,4169,success,2017-11-27 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,2135,success,2017-11-27 02:00:00,root
ssh,10.50.50.49,22,10.64.105.242,1533,success,2017-11-27 07:04:44,1140
mysql,10.50.50.46,4443,10.64.105.160,2211,success,2017-11-27 07:07:46,1397
ssh,10.50.50.26,22,10.64.105.75,2118,success,2017-11-27 07:12:36,1359
postgresql,10.7.133.15,5432,10.64.105.120,2278,success,2017-11-27 07:15:31,1102
ftp,10.50.50.26,21,10.64.105.107,1605,success,2017-11-27 07:15:42,1145
mongodb,10.7.133.18,8005,10.64.105.242,1533,success,2017-11-27 07:25:14,1140
mongodb,10.50.50.43,8005,10.64.105.112,2489,success,2017-11-27 07:28:22,1456
sftp,10.50.50.26,22,10.64.106.45,2151,success,2017-11-27 07:31:14,1484
mysql,10.50.50.26,4443,10.64.105.116,1925,success,2017-11-27 07:32:33,1204
ftp,10.50.50.40,21,10.64.105.160,2211,success,2017-11-27 07:33:20,1397
tds,10.50.50.26,54238,10.64.105.54,1572,success,2017-11-27 07:38:30,1257
mysql,10.50.50.26,4443,10.64.105.203,2407,success,2017-11-27 07:39:17,1417
mysql,10.50.50.29,4443,10.64.105.120,2278,success,2017-11-27 07:39:21,1102
mongodb,10.50.50.28,8005,10.64.105.107,1605,success,2017-11-27 07:42:35,1145
ssh,10.50.50.33,22,10.64.106.20,2501,success,2017-11-27 07:42:54,1459
sftp,10.50.50.40,22,10.64.105.137,1844,success,2017-11-27 07:47:24,1224
mysql,10.50.50.43,4443,10.64.105.164,1921,success,2017-11-27 07:47:48,1167
postgresql,10.50.50.28,5432,10.64.105.9,1796,success,2017-11-27 07:49:24,1307
tds,10.50.50.46,54238,10.64.105.116,1925,success,2017-11-27 07:53:04,1204
tds,10.7.133.15,54238,10.64.105.58,1832,success,2017-11-27 07:58:57,1457
tds,10.50.50.29,54238,10.64.105.73,2460,success,2017-11-27 07:59:38,1151
mysql,10.50.50.40,4443,10.64.105.72,1998,success,2017-11-27 08:00:13,1286
ssh,10.50.50.26,22,10.64.105.25,2411,success,2017-11-27 08:01:17,1154
sftp,10.50.50.43,22,10.64.106.20,2501,success,2017-11-27 08:03:24,1459
postgresql,10.50.50.40,5432,10.64.105.161,2057,success,2017-11-27 08:05:49,1351
ftp,10.50.50.26,21,10.64.106.45,2151,success,2017-11-27 08:05:52,1484
ssh,10.50.50.40,22,10.64.105.160,2211,success,2017-11-27 08:06:35,1397
postgresql,10.50.50.26,5432,10.64.105.112,2489,success,2017-11-27 08:07:18,1456
sftp,10.50.50.28,22,10.64.105.143,2497,success,2017-11-27 08:07:59,1142
mysql,10.7.133.18,4443,10.64.105.249,2085,success,2017-11-27 08:09:15,1344
mysql,10.50.50.26,4443,10.64.105.107,1605,success,2017-11-27 08:11:18,1145
mysql,10.50.50.37,4443,10.64.105.203,2407,success,2017-11-27 08:11:50,1417
mongodb,10.50.50.29,8005,10.64.105.250,1944,success,2017-11-27 08:12:36,1252
postgresql,10.50.50.26,5432,10.64.105.120,2278,success,2017-11-27 08:12:49,1102
ssh,10.50.50.41,22,10.64.105.70,2308,success,2017-11-27 08:14:19,1330
ssh,10.50.50.26,22,10.64.106.25,1773,success,2017-11-27 08:14:21,1296
mongodb,10.50.50.29,8005,10.64.105.213,2337,success,2017-11-27 08:14:25,1491
mysql,10.50.50.26,4443,10.64.105.75,2118,success,2017-11-27 08:15:40,1359
ftp,10.50.50.48,21,10.64.105.100,1822,success,2017-11-27 08:16:34,1345
ssh,10.50.50.28,22,10.64.105.74,2015,success,2017-11-27 08:17:59,1486
ssh,10.50.50.26,22,10.64.105.77,2014,success,2017-11-27 08:18:38,1127
mongodb,10.50.50.28,8005,10.64.105.30,2489,success,2017-11-27 08:18:54,1362
tds,10.50.50.26,54238,10.64.105.68,2352,success,2017-11-27 08:19:00,1098
postgresql,10.50.50.26,5432,10.64.105.9,1796,error,2017-11-27 08:19:35,1307
mysql,10.50.50.43,4443,10.64.105.210,2367,success,2017-11-27 08:20:17,1495
ssh,10.50.50.28,22,10.64.105.137,1844,success,2017-11-27 08:20:18,1224
tds,10.50.50.34,54238,10.64.105.57,2459,success,2017-11-27 08:20:35,1177
ftp,10.50.50.26,21,10.64.105.183,2471,success,2017-11-27 08:21:30,1254
tds,10.50.50.29,54238,10.64.105.72,1998,success,2017-11-27 08:23:00,1286
tds,10.7.133.16,54238,10.64.105.238,1902,success,2017-11-27 08:24:16,1115
ftp,10.50.50.29,21,10.64.105.110,1610,success,2017-11-27 08:24:18,1270
mongodb,10.50.50.26,8005,10.64.105.242,1533,success,2017-11-27 08:24:41,1140
mongodb,10.50.50.26,8005,10.64.105.229,2195,success,2017-11-27 08:24:42,1455
postgresql,10.7.133.15,5432,10.64.105.164,1921,success,2017-11-27 08:24:57,1167
sftp,10.50.50.43,22,10.64.105.149,2111,success,2017-11-27 08:24:59,1306
ftp,10.50.50.29,21,10.64.105.189,2423,success,2017-11-27 08:25:25,1429
tds,10.7.133.15,54238,10.64.105.27,2049,success,2017-11-27 08:25:57,1205
tds,10.50.50.37,54238,10.64.106.47,2186,success,2017-11-27 08:26:37,1393
postgresql,10.7.133.21,5432,10.64.105.129,1737,success,2017-11-27 08:27:15,1207
ftp,10.7.133.21,21,10.64.105.25,2411,success,2017-11-27 08:27:17,1154
mysql,10.7.133.16,4443,10.64.106.51,2076,success,2017-11-27 08:27:36,1466
tds,10.50.50.26,54238,10.64.105.233,2278,success,2017-11-27 08:27:37,1125
ssh,10.50.50.26,22,10.64.105.148,2201,success,2017-11-27 08:28:08,1406
ssh,10.50.50.44,22,10.64.105.65,1667,success,2017-11-27 08:28:36,1428
ftp,10.50.50.28,21,10.64.105.234,1949,success,2017-11-27 08:29:13,1396
ssh,10.50.50.28,22,10.64.106.35,2404,success,2017-11-27 08:29:32,1435
ftp,10.50.50.29,21,10.64.105.116,1925,success,2017-11-27 08:29:35,1204
mongodb,10.50.50.28,8005,10.64.105.245,1650,success,2017-11-27 08:29:48,1191
ftp,10.50.50.29,21,10.64.105.73,2460,success,2017-11-27 08:30:06,1151
tds,10.50.50.28,54238,10.64.105.200,1976,success,2017-11-27 08:30:43,1299
tds,10.50.50.26,54238,10.64.105.216,1615,error,2017-11-27 08:30:56,1199
sftp,10.50.50.26,22,10.64.105.145,2506,success,2017-11-27 08:31:00,1496
postgresql,10.50.50.48,5432,10.64.106.31,2373,success,2017-11-27 08:31:07,1126
ssh,10.7.133.18,22,10.64.105.41,2141,success,2017-11-27 08:31:43,1477
sftp,10.50.50.26,22,10.64.105.177,2028,success,2017-11-27 08:32:54,1483
ftp,10.50.50.26,21,10.64.105.131,2226,success,2017-11-27 08:33:01,1278
sftp,10.50.50.43,22,10.64.106.39,1742,success,2017-11-27 08:33:46,1321
sftp,10.7.133.16,22,10.64.105.80,2453,success,2017-11-27 08:33:48,1182
sftp,10.50.50.29,22,10.64.105.58,1832,success,2017-11-27 08:33:50,1457
mongodb,10.50.50.26,8005,10.64.105.161,2057,success,2017-11-27 08:34:18,1351
ssh,10.50.50.28,22,10.64.105.151,2113,error,2017-11-27 08:34:52,1087
ftp,10.50.50.44,21,10.64.106.25,1773,success,2017-11-27 08:35:02,1296
ftp,10.50.50.29,21,10.64.105.67,1764,success,2017-11-27 08:35:04,1405
mongodb,10.50.50.28,8005,10.64.105.104,1603,success,2017-11-27 08:35:08,1197
postgresql,10.50.50.33,5432,10.64.106.21,2188,success,2017-11-27 08:35:15,1449
ftp,10.50.50.40,21,10.64.105.159,1795,error,2017-11-27 08:35:40,1336
mongodb,10.50.50.37,8005,10.64.105.227,2421,success,2017-11-27 08:35:45,1246
mongodb,10.50.50.28,8005,10.64.105.170,1633,error,2017-11-27 08:35:51,1265
mysql,10.50.50.28,4443,10.64.105.62,1854,success,2017-11-27 08:36:10,1106
mongodb,10.50.50.29,8005,10.64.105.107,1605,error,2017-11-27 08:36:48,1145
postgresql,10.50.50.26,5432,10.64.105.135,1567,success,2017-11-27 08:36:50,1420
mysql,10.50.50.44,4443,10.64.106.36,2162,success,2017-11-27 08:36:58,1147
tds,10.50.50.28,54238,10.64.105.127,2429,success,2017-11-27 08:37:53,1221
ftp,10.50.50.49,21,10.64.105.209,1760,success,2017-11-27 08:37:55,1134
tds,10.50.50.26,54238,10.64.105.121,2531,error,2017-11-27 08:38:03,1209
tds,10.50.50.29,54238,10.64.105.143,2497,success,2017-11-27 08:38:18,1142
mysql,10.50.50.31,4443,10.64.105.76,1533,success,2017-11-27 08:38:33,1305
mongodb,10.50.50.26,8005,10.64.105.240,1528,success,2017-11-27 08:38:41,1475
mysql,10.50.50.28,4443,10.64.105.112,2489,success,2017-11-27 08:39:07,1456
tds,10.50.50.46,54238,10.64.105.184,2453,success,2017-11-27 08:39:35,1425
postgresql,10.50.50.29,5432,10.64.106.17,1997,success,2017-11-27 08:39:38,1275
mongodb,10.50.50.44,8005,10.64.105.138,1915,success,2017-11-27 08:40:07,1382
mongodb,10.50.50.26,8005,10.64.105.158,1989,success,2017-11-27 08:40:34,1481
ftp,10.50.50.28,21,10.64.106.45,2151,error,2017-11-27 08:41:11,1484
mysql,10.50.50.26,4443,10.64.105.100,1822,success,2017-11-27 08:41:35,1345
mongodb,10.50.50.36,8005,10.64.105.212,2431,success,2017-11-27 08:41:40,1189
mongodb,10.50.50.28,8005,10.64.105.163,2356,error,2017-11-27 08:42:08,1348
mongodb,10.50.50.29,8005,10.64.105.249,2085,error,2017-11-27 08:42:09,1344
ftp,10.50.50.26,21,10.64.105.176,1978,success,2017-11-27 08:42:33,1490
mysql,10.50.50.43,4443,10.64.106.20,2501,success,2017-11-27 08:42:37,1459
ssh,10.50.50.26,22,10.64.105.213,2337,success,2017-11-27 08:42:59,1491
mysql,10.7.133.19,4443,10.64.105.197,2148,success,2017-11-27 08:43:26,1230
mysql,10.50.50.29,4443,10.64.106.24,2287,success,2017-11-27 08:43:32,1277
tds,10.50.50.26,54238,10.64.105.169,2268,success,2017-11-27 08:43:43,1403
sftp,10.50.50.26,22,10.64.105.192,2499,success,2017-11-27 08:44:09,1349
tds,10.50.50.26,54238,10.64.105.154,1637,success,2017-11-27 08:44:11,1313
tds,10.50.50.26,54238,10.64.105.221,1598,success,2017-11-27 08:44:32,1471
tds,10.50.50.26,54238,10.64.105.160,2211,success,2017-11-27 08:44:57,1397
tds,10.50.50.26,54238,10.64.105.21,1616,success,2017-11-27 08:45:18,1112
mongodb,10.50.50.29,8005,10.64.105.155,1647,success,2017-11-27 08:45:21,1129
mysql,10.50.50.26,4443,10.64.105.57,2459,success,2017-11-27 08:45:25,1177
sftp,10.50.50.28,22,10.64.105.93,2238,success,2017-11-27 08:46:21,1388
sftp,10.50.50.37,22,10.64.105.140,2090,error,2017-11-27 08:46:41,1328
tds,10.50.50.26,54238,10.64.105.214,1857,success,2017-11-27 08:46:46,1446
sftp,10.50.50.29,22,10.64.105.124,1913,success,2017-11-27 08:47:07,1399
ftp,10.50.50.26,21,10.64.105.250,1944,error,2017-11-27 08:47:40,1252
ftp,10.50.50.26,21,10.64.105.190,1635,success,2017-11-27 08:47:41,1103
postgresql,10.50.50.28,5432,10.64.105.157,2023,success,2017-11-27 08:47:48,1303
mongodb,10.50.50.29,8005,10.64.105.182,1544,success,2017-11-27 08:47:49,1233
mysql,10.50.50.26,4443,10.64.105.149,2111,error,2017-11-27 08:47:53,1306
ftp,10.50.50.41,21,10.64.105.48,2000,success,2017-11-27 08:48:15,1153
mysql,10.50.50.40,4443,10.64.105.24,2101,success,2017-11-27 08:48:27,1262
ssh,10.50.50.26,22,10.64.105.230,2203,success,2017-11-27 08:48:41,1200
mysql,10.50.50.28,4443,10.64.105.70,2308,success,2017-11-27 08:49:05,1330
mysql,10.50.50.26,4443,10.64.105.101,1696,error,2017-11-27 08:49:14,1323
ftp,10.50.50.26,21,10.64.105.25,2411,success,2017-11-27 08:49:26,1154
ftp,10.50.50.37,21,10.64.105.126,1512,error,2017-11-27 08:49:38,1301
mongodb,10.50.50.26,8005,10.64.105.203,2407,success,2017-11-27 08:50:14,1417
ftp,10.7.133.15,21,10.64.105.187,1702,success,2017-11-27 08:50:31,1152
ssh,10.50.50.29,22,10.64.105.75,2118,success,2017-11-27 08:50:31,1359
sftp,10.50.50.28,22,10.64.105.82,1727,success,2017-11-27 08:50:35,1060
ssh,10.50.50.26,22,10.64.105.199,1865,success,2017-11-27 08:50:46,1169
ssh,10.50.50.26,22,10.64.105.39,2026,success,2017-11-27 08:50:50,1170
tds,10.50.50.29,54238,10.64.105.120,2278,success,2017-11-27 08:50:54,1102
mongodb,10.50.50.28,8005,10.64.105.133,2313,success,2017-11-27 08:52:00,1132
mongodb,10.50.50.29,8005,10.64.105.193,1824,success,2017-11-27 08:52:18,1494
mongodb,10.50.50.29,8005,10.64.106.18,2431,success,2017-11-27 08:52:24,1339
mysql,10.50.50.26,4443,10.64.105.134,1908,success,2017-11-27 08:52:39,1139
ssh,10.50.50.40,22,10.64.105.128,2425,success,2017-11-27 08:52:47,1176
ftp,10.50.50.26,21,10.64.105.27,2049,success,2017-11-27 08:52:57,1205
sftp,10.50.50.26,22,10.64.105.119,2398,success,2017-11-27 08:53:01,1156
sftp,10.50.50.28,22,10.64.105.210,2367,success,2017-11-27 08:53:02,1495
postgresql,10.50.50.28,5432,10.64.105.30,2489,success,2017-11-27 08:53:08,1362
mongodb,10.50.50.29,8005,10.64.105.65,1667,success,2017-11-27 08:53:11,1428
postgresql,10.50.50.29,5432,10.64.105.131,2226,success,2017-11-27 08:53:33,1278
ftp,10.50.50.28,21,10.64.105.211,1601,success,2017-11-27 08:53:49,1398
ftp,10.50.50.35,21,10.64.105.222,1546,success,2017-11-27 08:54:15,1469
ssh,10.50.50.28,22,10.64.105.80,2453,success,2017-11-27 08:54:41,1182
postgresql,10.50.50.36,5432,10.64.105.68,2352,success,2017-11-27 08:54:41,1098
sftp,10.50.50.26,22,10.64.105.87,2125,success,2017-11-27 08:54:48,1373
sftp,10.50.50.28,22,10.64.105.84,2027,success,2017-11-27 08:54:50,1436
ssh,10.50.50.26,22,10.64.105.245,1650,success,2017-11-27 08:54:59,1191
postgresql,10.7.133.18,5432,10.64.105.52,2073,success,2017-11-27 08:55:27,1282
ssh,10.50.50.28,22,10.64.105.242,1533,success,2017-11-27 08:55:29,1140
tds,10.50.50.26,54238,10.64.105.200,1976,success,2017-11-27 08:55:29,1299
sftp,10.50.50.28,22,10.64.105.18,2102,success,2017-11-27 08:55:33,1223
ssh,10.50.50.28,22,10.64.105.129,1737,success,2017-11-27 08:55:38,1207
mysql,10.7.133.15,4443,10.64.106.31,2373,success,2017-11-27 08:55:45,1126
ssh,10.50.50.26,22,10.64.105.72,1998,success,2017-11-27 08:56:10,1286
mysql,10.50.50.26,4443,10.64.106.47,2186,error,2017-11-27 08:56:18,1393
tds,10.50.50.28,54238,10.64.105.67,1764,success,2017-11-27 08:56:33,1405
ftp,10.50.50.49,21,10.64.105.50,1797,success,2017-11-27 08:56:42,1409
postgresql,10.50.50.28,5432,10.64.105.189,2423,success,2017-11-27 08:56:57,1429
ftp,10.50.50.29,21,10.64.105.45,1850,success,2017-11-27 08:56:59,1314
ssh,10.50.50.26,22,10.64.105.42,1812,success,2017-11-27 08:57:10,1391
postgresql,10.50.50.26,5432,10.64.106.28,2313,success,2017-11-27 08:57:14,1385
tds,10.50.50.26,54238,10.64.106.46,2468,success,2017-11-27 08:57:23,1458
ssh,10.50.50.29,22,10.64.105.46,2246,success,2017-11-27 08:57:31,1480
postgresql,10.50.50.26,5432,10.64.105.188,2139,success,2017-11-27 08:57:39,1234
mysql,10.7.133.15,4443,10.64.105.74,2015,success,2017-11-27 08:57:48,1486
mongodb,10.50.50.26,8005,10.64.105.9,1796,success,2017-11-27 08:58:00,1307
tds,10.7.133.20,54238,10.64.105.92,1997,success,2017-11-27 08:58:00,1354
ftp,10.50.50.37,21,10.64.105.150,2500,success,2017-11-27 08:58:01,1322
mongodb,10.50.50.29,8005,10.64.105.137,1844,success,2017-11-27 08:58:07,1224
mongodb,10.7.133.18,8005,10.64.105.103,2401,success,2017-11-27 08:58:20,1357
postgresql,10.50.50.44,5432,10.64.105.63,2142,success,2017-11-27 08:58:24,1211
tds,10.50.50.26,54238,10.64.105.77,2014,success,2017-11-27 08:58:31,1127
postgresql,10.50.50.26,5432,10.64.105.159,1795,success,2017-11-27 08:58:32,1336
sftp,10.50.50.26,22,10.64.105.252,2339,success,2017-11-27 08:58:42,1287
mongodb,10.50.50.26,8005,10.64.106.35,2404,error,2017-11-27 08:58:53,1435
tds,10.50.50.28,54238,10.64.105.229,2195,success,2017-11-27 08:58:53,1455
mysql,10.50.50.26,4443,10.64.105.113,1911,success,2017-11-27 08:59:10,1159
tds,10.50.50.26,54238,10.64.105.236,2057,success,2017-11-27 08:59:11,1379
postgresql,10.50.50.40,5432,10.64.105.165,1829,success,2017-11-27 08:59:16,1183
ssh,10.50.50.35,22,10.64.105.201,1936,success,2017-11-27 08:59:29,1319
mongodb,10.7.133.18,8005,10.64.105.251,2228,success,2017-11-27 08:59:34,1416
mongodb,10.50.50.28,8005,10.64.105.34,1999,success,2017-11-27 08:59:35,1192
sftp,10.50.50.26,22,10.64.105.142,1704,success,2017-11-27 08:59:43,1113
mysql,10.50.50.37,4443,10.64.105.78,1734,success,2017-11-27 08:59:47,1343
postgresql,10.50.50.29,5432,10.64.105.240,1528,success,2017-11-27 08:59:52,1475
sftp,10.50.50.28,22,10.64.105.76,1533,success,2017-11-27 08:59:58,1305
mongodb,10.50.50.29,8005,10.64.105.123,2398,success,2017-11-27 09:00:06,1404
tds,10.50.50.35,54238,10.64.105.177,2028,success,2017-11-27 09:00:16,1483
tds,10.50.50.43,54238,10.64.105.238,1902,success,2017-11-27 09:00:23,1115
mongodb,10.50.50.26,8005,10.64.105.226,1866,success,2017-11-27 09:00:27,1315
sftp,10.50.50.28,22,10.64.105.217,1558,success,2017-11-27 09:00:37,1172
ssh,10.50.50.26,22,10.64.105.183,2471,success,2017-11-27 09:00:43,1254
mongodb,10.7.133.15,8005,10.64.105.114,1862,success,2017-11-27 09:00:50,1423
ssh,10.50.50.26,22,10.64.105.17,2060,success,2017-11-27 09:00:54,1474
mysql,10.7.133.15,4443,10.64.105.227,2421,success,2017-11-27 09:01:22,1246
postgresql,10.50.50.49,5432,10.64.105.44,2381,success,2017-11-27 09:01:25,1281
postgresql,10.50.50.40,5432,10.64.105.6,1708,success,2017-11-27 09:01:42,1464
mysql,10.7.133.15,4443,10.64.105.164,1921,success,2017-11-27 09:01:44,1167
postgresql,10.50.50.35,5432,10.64.105.116,1925,success,2017-11-27 09:01:44,1204
ssh,10.50.50.29,22,10.64.105.73,2460,success,2017-11-27 09:01:51,1151
ssh,10.50.50.26,22,10.64.105.59,1604,success,2017-11-27 09:02:07,1334
mongodb,10.50.50.26,8005,10.64.105.85,1747,success,2017-11-27 09:02:09,1408
mongodb,10.50.50.26,8005,10.64.105.16,1563,success,2017-11-27 09:02:11,1440
ssh,10.50.50.29,22,10.64.105.153,1989,success,2017-11-27 09:02:21,1308
tds,10.50.50.28,54238,10.64.105.54,1572,success,2017-11-27 09:02:24,1257
ftp,10.50.50.26,21,10.64.106.48,1649,error,2017-11-27 09:02:31,1460
sftp,10.50.50.29,22,10.64.105.127,2429,error,2017-11-27 09:03:35,1221
tds,10.50.50.29,54238,10.64.105.121,2531,success,2017-11-27 09:03:57,1209
mysql,10.50.50.28,4443,10.64.106.51,2076,success,2017-11-27 09:04:14,1466
ftp,10.50.50.40,21,10.64.105.233,2278,success,2017-11-27 09:04:19,1125
ftp,10.50.50.40,21,10.64.105.109,2097,success,2017-11-27 09:04:32,1263
ssh,10.50.50.26,22,10.64.105.148,2201,success,2017-11-27 09:04:52,1406
ftp,10.50.50.26,21,10.64.106.25,1773,success,2017-11-27 09:05:06,1296
mongodb,10.50.50.40,8005,10.64.105.216,1615,success,2017-11-27 09:05:09,1199
ssh,10.50.50.46,22,10.64.105.151,2113,success,2017-11-27 09:05:39,1087
sftp,10.50.50.26,22,10.64.106.36,2162,success,2017-11-27 09:05:52,1147
