proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,2308,success,2017-11-21 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,4995,success,2017-11-21 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,5207,success,2017-11-21 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,3164,success,2017-11-21 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,2286,success,2017-11-21 02:00:00,root
ftp,10.50.50.28,21,10.64.105.242,1984,success,2017-11-21 07:14:55,1140
tds,10.50.50.49,54238,10.64.105.120,2398,success,2017-11-21 07:15:19,1102
mysql,10.50.50.40,4443,10.64.105.75,1541,success,2017-11-21 07:17:55,1359
ftp,10.7.133.20,21,10.64.105.160,2476,success,2017-11-21 07:21:13,1397
sftp,10.50.50.26,22,10.64.105.13,2255,success,2017-11-21 07:21:29,1493
tds,10.50.50.26,54238,10.64.105.107,1557,success,2017-11-21 07:25:26,1145
postgresql,10.50.50.29,5432,10.64.105.116,1646,success,2017-11-21 07:27:41,1204
mongodb,10.50.50.29,8005,10.64.105.112,1617,success,2017-11-21 07:28:37,1456
mysql,10.50.50.37,4443,10.64.106.34,2211,success,2017-11-21 07:33:19,1210
postgresql,10.50.50.37,5432,10.64.105.54,2043,success,2017-11-21 07:39:18,1257
mongodb,10.50.50.26,8005,10.64.105.203,2151,success,2017-11-21 07:40:28,1417
mysql,10.50.50.28,4443,10.64.106.45,1606,error,2017-11-21 07:41:36,1484
tds,10.50.50.46,54238,10.64.105.242,1984,success,2017-11-21 07:42:09,1140
sftp,10.50.50.29,22,10.64.105.164,1570,success,2017-11-21 07:42:30,1167
tds,10.50.50.46,54238,10.64.105.160,2476,success,2017-11-21 07:46:26,1397
mongodb,10.7.133.15,8005,10.64.105.36,2441,success,2017-11-21 07:46:30,1220
ftp,10.50.50.26,21,10.64.105.9,2299,success,2017-11-21 07:46:47,1307
ssh,10.50.50.29,22,10.64.105.120,2398,success,2017-11-21 07:46:48,1102
