proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.15,22,10.50.50.27,4175,success,2017-11-11 03:00:00,root
ssh,10.7.133.15,22,10.63.120.70,2147,success,2017-11-11 03:00:00,root
ssh,10.7.133.19,22,10.50.50.31,4655,success,2017-11-11 03:00:00,root
ssh,10.7.133.20,22,10.50.50.29,4380,success,2017-11-11 03:00:00,root
ssh,10.7.133.18,22,10.50.50.28,4298,success,2017-11-11 03:00:00,root
ssh,10.7.133.16,22,10.50.50.37,4757,success,2017-11-11 03:00:00,root
ssh,10.7.133.21,22,10.50.50.26,2336,success,2017-11-11 03:00:00,root
ssh,10.7.133.16,22,10.5.71.60,5722,success,2017-11-11 03:00:00,root
ssh,10.7.133.17,22,10.50.50.44,2610,success,2017-11-11 03:00:00,root
ssh,10.7.133.16,22,10.50.50.46,4718,success,2017-11-11 03:00:00,root
mongodb,10.50.50.29,8005,10.64.105.75,2309,success,2017-11-11 07:22:12,1359
ssh,10.50.50.28,22,10.64.106.34,2499,success,2017-11-11 07:37:18,1210
mysql,10.50.50.41,4443,10.64.105.75,2309,success,2017-11-11 07:49:42,1359
mongodb,10.50.50.26,8005,10.64.105.72,2340,success,2017-11-11 08:08:58,1286
tds,10.50.50.28,54238,10.64.105.100,1613,error,2017-11-11 08:13:49,1345
ftp,10.50.50.26,21,10.64.106.34,2499,success,2017-11-11 08:15:02,1210
ftp,10.50.50.28,21,10.64.105.75,2309,success,2017-11-11 08:17:07,1359
tds,10.50.50.28,54238,10.64.105.145,1509,success,2017-11-11 08:27:53,1496
tds,10.50.50.26,54238,10.64.105.67,2469,success,2017-11-11 08:31:54,1405
ftp,10.50.50.29,21,10.64.105.188,2152,success,2017-11-11 08:40:33,1234
ftp,10.50.50.26,21,10.64.105.72,2340,success,2017-11-11 08:41:27,1286
sftp,10.50.50.37,22,10.64.106.34,2499,success,2017-11-11 08:43:18,1210
postgresql,10.50.50.26,5432,10.64.105.75,2309,success,2017-11-11 08:44:47,1359
mongodb,10.50.50.29,8005,10.64.105.100,1613,error,2017-11-11 08:47:11,1345
mongodb,10.50.50.29,8005,10.64.105.226,1975,success,2017-11-11 08:48:44,1315
postgresql,10.50.50.48,5432,10.64.105.145,1509,error,2017-11-11 08:51:14,1496
ssh,10.50.50.26,22,10.64.105.78,1976,success,2017-11-11 08:54:42,1343
mysql,10.50.50.29,4443,10.64.105.92,2047,success,2017-11-11 08:56:34,1354
tds,10.50.50.28,54238,10.64.105.211,2085,success,2017-11-11 08:57:42,1398
mysql,10.50.50.28,4443,10.64.105.72,2340,success,2017-11-11 09:01:27,1286
mongodb,10.50.50.26,8005,10.64.105.103,1967,success,2017-11-11 09:02:05,1357
ftp,10.50.50.28,21,10.64.105.67,2469,success,2017-11-11 09:03:10,1405
postgresql,10.50.50.29,5432,10.64.105.153,2075,success,2017-11-11 09:03:25,1308
mysql,10.50.50.35,4443,10.64.105.59,2109,success,2017-11-11 09:03:41,1334
mongodb,10.50.50.26,8005,10.64.106.34,2499,success,2017-11-11 09:10:02,1210
postgresql,10.50.50.26,5432,10.64.105.188,2152,error,2017-11-11 09:14:57,1234
ssh,10.50.50.28,22,10.64.105.226,1975,success,2017-11-11 09:18:17,1315
mysql,10.50.50.29,4443,10.64.105.145,1509,success,2017-11-11 09:18:47,1496
mysql,10.50.50.29,4443,10.64.105.100,1613,success,2017-11-11 09:20:55,1345
postgresql,10.50.50.40,5432,10.64.105.75,2309,success,2017-11-11 09:23:58,1359
ssh,10.50.50.43,22,10.64.105.92,2047,success,2017-11-11 09:27:53,1354
ftp,10.50.50.26,21,10.64.105.153,2075,success,2017-11-11 09:29:43,1308
ftp,10.50.50.43,21,10.64.105.188,2152,success,2017-11-11 09:35:07,1234
mongodb,10.50.50.29,8005,10.64.105.59,2109,success,2017-11-11 09:35:09,1334
ssh,10.50.50.26,22,10.64.105.211,2085,success,2017-11-11 09:35:09,1398
mongodb,10.50.50.37,8005,10.64.106.34,2499,success,2017-11-11 09:38:51,1210
tds,10.50.50.28,54238,10.64.105.103,1967,success,2017-11-11 09:39:13,1357
postgresql,10.50.50.29,5432,10.64.105.78,1976,success,2017-11-11 09:40:42,1343
mongodb,10.50.50.29,8005,10.64.105.72,2340,success,2017-11-11 09:41:20,1286
ftp,10.50.50.38,21,10.64.105.67,2469,success,2017-11-11 09:41:45,1405
sftp,10.50.50.36,22,10.64.105.226,1975,error,2017-11-11 09:44:37,1315
ssh,10.50.50.48,22,10.64.105.100,1613,success,2017-11-11 09:47:26,1345
mongodb,10.50.50.28,8005,10.64.105.75,2309,success,2017-11-11 09:47:51,1359
mongodb,10.50.50.26,8005,10.64.105.92,2047,success,2017-11-11 09:48:38,1354
mysql,10.50.50.28,4443,10.64.105.145,1509,success,2017-11-11 09:54:17,1496
ssh,10.5.71.60,22,10.64.106.36,49165,success,2017-11-11 10:33:58,1147
postgresql,10.50.50.46,5432,10.64.105.145,1509,success,2017-11-11 11:00:06,1496
ftp,10.50.50.26,21,10.64.105.67,2554,success,2017-11-11 11:02:49,1405
ssh,10.50.50.29,22,10.64.105.100,1613,success,2017-11-11 11:03:07,1345
mysql,10.50.50.48,4443,10.64.105.145,1509,success,2017-11-11 11:05:46,1496
ftp,10.50.50.26,21,10.64.105.211,2095,error,2017-11-11 11:09:15,1398
mongodb,10.50.50.29,8005,10.64.105.78,2139,success,2017-11-11 11:09:45,1343
ssh,10.50.50.28,22,10.64.105.67,2554,error,2017-11-11 11:10:33,1405
mysql,10.50.50.36,4443,10.64.105.67,2554,success,2017-11-11 11:16:14,1405
ssh,10.50.50.26,22,10.64.105.75,2309,success,2017-11-11 11:18:33,1359
ssh,10.50.50.29,22,10.64.105.226,2118,success,2017-11-11 11:19:29,1315
ssh,10.50.50.37,22,10.64.105.92,2236,success,2017-11-11 11:21:38,1354
ssh,10.50.50.28,22,10.64.105.59,2290,success,2017-11-11 11:22:28,1334
mysql,10.7.133.16,4443,10.64.105.72,2362,success,2017-11-11 11:22:31,1286
mysql,10.7.133.15,4443,10.64.105.92,2236,success,2017-11-11 11:24:21,1354
ftp,10.7.133.16,21,10.64.105.59,2290,success,2017-11-11 11:24:34,1334
postgresql,10.50.50.37,5432,10.64.106.34,2519,success,2017-11-11 11:25:46,1210
mongodb,10.50.50.26,8005,10.64.105.103,2097,success,2017-11-11 11:31:40,1357
mysql,10.7.133.15,4443,10.64.105.103,2097,success,2017-11-11 11:32:43,1357
mysql,10.50.50.26,4443,10.64.105.78,2139,success,2017-11-11 11:34:04,1343
ssh,10.50.50.26,22,10.64.105.145,1509,success,2017-11-11 11:37:15,1496
ftp,10.50.50.26,21,10.64.105.226,2118,success,2017-11-11 11:37:44,1315
tds,10.50.50.29,54238,10.64.105.153,2264,success,2017-11-11 11:38:26,1308
sftp,10.7.133.15,22,10.64.105.153,2264,success,2017-11-11 11:39:07,1308
sftp,10.50.50.26,22,10.64.105.188,2230,success,2017-11-11 11:39:09,1234
mongodb,10.50.50.40,8005,10.64.105.75,2309,success,2017-11-11 11:39:17,1359
ftp,10.50.50.31,21,10.64.105.188,2230,success,2017-11-11 11:39:47,1234
sftp,10.7.133.18,22,10.64.106.34,2519,success,2017-11-11 11:40:35,1210
ssh,10.50.50.26,22,10.64.105.153,2264,success,2017-11-11 11:40:54,1308
ftp,10.50.50.26,21,10.64.105.59,2290,success,2017-11-11 11:45:22,1334
mongodb,10.50.50.28,8005,10.64.105.72,2362,success,2017-11-11 11:45:24,1286
mongodb,10.50.50.29,8005,10.64.105.78,2139,success,2017-11-11 11:46:16,1343
postgresql,10.50.50.48,5432,10.64.105.100,1613,success,2017-11-11 11:47:48,1345
ssh,10.50.50.29,22,10.64.105.188,2230,success,2017-11-11 11:47:59,1234
ssh,10.50.50.26,22,10.64.106.34,2519,success,2017-11-11 11:49:24,1210
sftp,10.50.50.26,22,10.64.105.153,2264,success,2017-11-11 11:49:48,1308
sftp,10.50.50.28,22,10.64.105.92,2236,success,2017-11-11 11:51:58,1354
postgresql,10.50.50.28,5432,10.64.105.100,1613,success,2017-11-11 11:56:27,1345
ssh,10.50.50.28,22,10.64.105.211,2095,success,2017-11-11 12:02:15,1398
mongodb,10.50.50.26,8005,10.64.105.92,2236,success,2017-11-11 12:04:14,1354
ssh,10.50.50.37,22,10.64.106.34,2519,success,2017-11-11 12:05:44,1210
mongodb,10.50.50.29,8005,10.64.105.211,2095,success,2017-11-11 12:07:57,1398
ftp,10.50.50.29,21,10.64.105.103,2097,success,2017-11-11 12:08:00,1357
sftp,10.50.50.49,22,10.64.105.211,2095,success,2017-11-11 12:10:55,1398
ssh,10.50.50.38,22,10.64.105.67,2554,success,2017-11-11 12:11:04,1405
ftp,10.7.133.18,21,10.64.106.34,2519,success,2017-11-11 12:11:04,1210
postgresql,10.50.50.28,5432,10.64.105.226,2118,success,2017-11-11 12:16:20,1315
mysql,10.50.50.40,4443,10.64.105.78,2139,success,2017-11-11 12:19:19,1343
postgresql,10.7.133.15,5432,10.64.105.153,2264,success,2017-11-11 12:21:02,1308
tds,10.50.50.26,54238,10.64.105.103,2097,success,2017-11-11 12:25:16,1357
ssh,10.50.50.26,22,10.64.105.67,2554,success,2017-11-11 12:25:36,1405
ssh,10.7.133.16,22,10.64.105.211,2095,success,2017-11-11 12:26:38,1398
tds,10.50.50.40,54238,10.64.105.72,2362,success,2017-11-11 12:28:53,1286
tds,10.7.133.15,54238,10.64.105.103,2097,success,2017-11-11 12:29:41,1357
ssh,10.5.71.60,22,10.64.105.140,49165,success,2017-11-11 13:37:13,1328
ssh,10.50.50.43,22,10.64.105.75,3053,success,2017-11-11 13:39:57,1359
tds,10.50.50.46,54238,10.64.105.103,2795,success,2017-11-11 13:45:31,1357
sftp,10.50.50.30,22,10.64.105.78,3071,success,2017-11-11 13:55:35,1343
tds,10.50.50.44,54238,10.64.105.145,2286,success,2017-11-11 13:57:00,1496
tds,10.50.50.37,54238,10.64.105.153,2694,success,2017-11-11 14:00:08,1308
tds,10.50.50.26,54238,10.64.105.67,3564,success,2017-11-11 14:02:41,1405
mysql,10.50.50.26,4443,10.64.105.153,2694,success,2017-11-11 14:05:59,1308
ssh,10.5.71.60,22,10.64.105.193,49218,success,2017-11-11 14:06:17,1494
postgresql,10.50.50.26,5432,10.64.105.75,3053,success,2017-11-11 14:21:01,1359
mysql,10.50.50.26,4443,10.64.105.59,3113,error,2017-11-11 14:23:09,1334
postgresql,10.50.50.48,5432,10.64.105.100,1879,success,2017-11-11 14:35:28,1345
postgresql,10.50.50.26,5432,10.64.105.145,2286,success,2017-11-11 14:35:43,1496
ssh,10.50.50.29,22,10.64.105.103,2795,success,2017-11-11 14:45:38,1357
tds,10.50.50.28,54238,10.64.105.59,3113,success,2017-11-11 14:46:35,1334
postgresql,10.50.50.26,5432,10.64.105.59,3113,success,2017-11-11 14:47:07,1334
sftp,10.50.50.40,22,10.64.105.100,1879,success,2017-11-11 14:49:16,1345
sftp,10.50.50.26,22,10.64.105.211,2794,success,2017-11-11 14:50:59,1398
tds,10.50.50.28,54238,10.64.105.103,2795,success,2017-11-11 14:52:28,1357
postgresql,10.50.50.48,5432,10.64.105.100,1879,success,2017-11-11 14:58:13,1345
mysql,10.50.50.26,4443,10.64.105.100,1879,error,2017-11-11 15:03:27,1345
postgresql,10.50.50.26,5432,10.64.105.100,1879,success,2017-11-11 15:09:48,1345
mysql,10.50.50.43,4443,10.64.105.226,2749,success,2017-11-11 15:10:54,1315
