proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.19,22,10.50.50.31,4119,success,2017-11-20 02:00:00,root
ssh,10.7.133.16,22,10.50.50.46,3473,success,2017-11-20 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,4982,success,2017-11-20 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,2268,success,2017-11-20 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,3334,success,2017-11-20 02:00:00,root
ssh,10.7.133.15,22,10.64.105.120,1561,success,2017-11-20 07:14:02,1102
mysql,10.50.50.26,4443,10.64.105.13,1556,success,2017-11-20 07:18:26,1493
ftp,10.50.50.29,21,10.64.105.107,2321,success,2017-11-20 07:20:34,1145
ssh,10.50.50.29,22,10.64.105.242,2374,error,2017-11-20 07:23:37,1140
ftp,10.50.50.26,21,10.64.105.75,2361,success,2017-11-20 07:24:04,1359
sftp,10.50.50.26,22,10.64.105.116,1684,success,2017-11-20 07:26:24,1204
mongodb,10.50.50.29,8005,10.64.105.112,1861,success,2017-11-20 07:28:00,1456
ftp,10.7.133.18,21,10.64.106.34,1858,error,2017-11-20 07:32:03,1210
postgresql,10.50.50.26,5432,10.64.106.45,2194,success,2017-11-20 07:34:54,1484
mysql,10.50.50.26,4443,10.64.105.54,2449,success,2017-11-20 07:39:52,1257
mysql,10.50.50.28,4443,10.64.105.203,2441,success,2017-11-20 07:42:20,1417
ssh,10.50.50.43,22,10.64.106.20,1637,success,2017-11-20 07:44:24,1459
sftp,10.50.50.28,22,10.64.105.107,2321,success,2017-11-20 07:45:37,1145
ftp,10.50.50.40,21,10.64.105.137,2183,success,2017-11-20 07:45:47,1224
postgresql,10.50.50.26,5432,10.64.105.164,1881,success,2017-11-20 07:46:17,1167
mongodb,10.7.133.18,8005,10.64.105.36,1721,success,2017-11-20 07:48:11,1220
postgresql,10.50.50.29,5432,10.64.105.120,1561,success,2017-11-20 07:53:16,1102
mongodb,10.50.50.29,8005,10.64.105.72,2411,success,2017-11-20 07:54:26,1286
tds,10.50.50.29,54238,10.64.105.242,2374,success,2017-11-20 07:54:40,1140
sftp,10.50.50.26,22,10.64.105.75,2361,success,2017-11-20 07:55:12,1359
postgresql,10.7.133.16,5432,10.64.105.13,1556,success,2017-11-20 07:55:21,1493
sftp,10.50.50.26,22,10.64.105.183,2077,success,2017-11-20 08:00:36,1254
tds,10.7.133.18,54238,10.64.106.34,1858,success,2017-11-20 08:02:25,1210
ftp,10.50.50.46,21,10.64.105.58,2426,success,2017-11-20 08:03:05,1457
sftp,10.50.50.46,22,10.64.105.73,2163,success,2017-11-20 08:05:12,1151
mongodb,10.50.50.40,8005,10.64.105.161,2317,success,2017-11-20 08:05:32,1351
postgresql,10.50.50.26,5432,10.64.106.45,2194,success,2017-11-20 08:05:34,1484
mysql,10.50.50.26,4443,10.64.105.25,2084,success,2017-11-20 08:06:45,1154
mysql,10.50.50.43,4443,10.64.105.112,1861,success,2017-11-20 08:07:33,1456
sftp,10.7.133.16,22,10.64.105.250,2009,success,2017-11-20 08:08:38,1252
tds,10.50.50.26,54238,10.64.105.54,2449,success,2017-11-20 08:10:10,1257
postgresql,10.50.50.29,5432,10.64.105.249,1706,success,2017-11-20 08:10:31,1344
tds,10.50.50.29,54238,10.64.105.137,2183,success,2017-11-20 08:12:02,1224
ftp,10.50.50.28,21,10.64.105.77,1954,success,2017-11-20 08:12:20,1127
mysql,10.50.50.26,4443,10.64.105.203,2441,success,2017-11-20 08:13:53,1417
tds,10.50.50.26,54238,10.64.105.70,1786,success,2017-11-20 08:13:58,1330
ssh,10.50.50.26,22,10.64.105.57,1754,success,2017-11-20 08:14:27,1177
sftp,10.50.50.26,22,10.64.105.210,1956,error,2017-11-20 08:14:49,1495
mysql,10.50.50.29,4443,10.64.105.213,2154,success,2017-11-20 08:16:19,1491
mysql,10.50.50.28,4443,10.64.105.80,1778,success,2017-11-20 08:16:19,1182
mysql,10.50.50.37,4443,10.64.105.164,1881,success,2017-11-20 08:16:58,1167
ssh,10.50.50.26,22,10.64.106.25,2283,success,2017-11-20 08:17:12,1296
postgresql,10.50.50.48,5432,10.64.105.100,1808,success,2017-11-20 08:17:59,1345
mysql,10.50.50.33,4443,10.64.105.68,1809,success,2017-11-20 08:18:02,1098
sftp,10.50.50.26,22,10.64.105.36,1721,success,2017-11-20 08:19:53,1220
ssh,10.50.50.46,22,10.64.105.116,1684,success,2017-11-20 08:20:20,1204
ftp,10.7.133.19,21,10.64.106.20,1637,success,2017-11-20 08:22:31,1459
mysql,10.50.50.46,4443,10.64.105.110,1510,success,2017-11-20 08:22:58,1270
tds,10.7.133.19,54238,10.64.105.197,1912,success,2017-11-20 08:24:16,1230
ssh,10.50.50.26,22,10.64.105.107,2321,success,2017-11-20 08:25:00,1145
mongodb,10.50.50.26,8005,10.64.105.242,2374,success,2017-11-20 08:25:05,1140
mongodb,10.50.50.26,8005,10.64.105.159,1527,error,2017-11-20 08:25:38,1336
mysql,10.50.50.28,4443,10.64.105.30,2382,success,2017-11-20 08:26:03,1362
tds,10.50.50.46,54238,10.64.105.149,1810,success,2017-11-20 08:26:06,1306
ssh,10.50.50.29,22,10.64.106.21,1862,success,2017-11-20 08:26:23,1449
postgresql,10.50.50.48,5432,10.64.105.145,1509,error,2017-11-20 08:27:17,1496
tds,10.50.50.28,54238,10.64.105.41,1593,success,2017-11-20 08:27:21,1477
mysql,10.50.50.29,4443,10.64.105.25,2084,success,2017-11-20 08:27:36,1154
mysql,10.50.50.29,4443,10.64.105.229,2146,success,2017-11-20 08:27:50,1455
mysql,10.50.50.29,4443,10.64.105.176,2211,success,2017-11-20 08:28:36,1490
ftp,10.50.50.26,21,10.64.105.189,1720,success,2017-11-20 08:28:39,1429
postgresql,10.7.133.15,5432,10.64.105.161,2317,success,2017-11-20 08:29:04,1351
mongodb,10.50.50.26,8005,10.64.105.74,2287,success,2017-11-20 08:29:16,1486
mysql,10.7.133.16,4443,10.64.106.47,1740,success,2017-11-20 08:29:39,1393
mongodb,10.50.50.26,8005,10.64.105.75,2361,success,2017-11-20 08:29:52,1359
tds,10.50.50.28,54238,10.64.106.45,2194,success,2017-11-20 08:30:38,1484
ssh,10.50.50.40,22,10.64.105.233,2299,success,2017-11-20 08:30:50,1125
postgresql,10.50.50.29,5432,10.64.105.13,1556,success,2017-11-20 08:31:01,1493
sftp,10.50.50.40,22,10.64.105.170,1695,success,2017-11-20 08:31:03,1265
postgresql,10.50.50.26,5432,10.64.105.65,2061,success,2017-11-20 08:31:20,1428
tds,10.50.50.29,54238,10.64.105.58,2426,success,2017-11-20 08:31:46,1457
ftp,10.50.50.41,21,10.64.105.76,2273,success,2017-11-20 08:31:48,1305
ssh,10.50.50.26,22,10.64.105.177,2269,success,2017-11-20 08:32:21,1483
mongodb,10.50.50.26,8005,10.64.105.216,1886,error,2017-11-20 08:32:59,1199
