proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,3698,success,2017-11-19 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,3661,success,2017-11-19 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,4684,success,2017-11-19 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,3628,success,2017-11-19 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,5086,success,2017-11-19 02:00:00,root
ssh,10.50.50.29,22,10.64.106.34,2291,error,2017-11-19 07:27:00,1210
ftp,10.50.50.26,21,10.64.105.36,2324,success,2017-11-19 07:40:04,1220
mysql,10.7.133.18,4443,10.64.106.34,2291,success,2017-11-19 07:47:42,1210
tds,10.50.50.28,54238,10.64.106.45,1797,success,2017-11-19 07:49:32,1484
postgresql,10.50.50.28,5432,10.64.105.73,2209,error,2017-11-19 08:06:00,1151
ftp,10.50.50.29,21,10.64.105.36,2324,error,2017-11-19 08:10:07,1220
ftp,10.50.50.26,21,10.64.106.34,2291,success,2017-11-19 08:13:51,1210
tds,10.50.50.26,54238,10.64.105.213,2223,success,2017-11-19 08:16:57,1491
ftp,10.50.50.33,21,10.64.106.45,1797,success,2017-11-19 08:29:13,1484
mongodb,10.50.50.26,8005,10.64.105.200,2241,success,2017-11-19 08:30:55,1299
tds,10.50.50.26,54238,10.64.105.73,2209,success,2017-11-19 08:35:08,1151
mongodb,10.50.50.28,8005,10.64.105.36,2324,success,2017-11-19 08:45:28,1220
tds,10.7.133.18,54238,10.64.106.34,2291,success,2017-11-19 08:51:15,1210
mongodb,10.50.50.26,8005,10.64.105.44,1944,success,2017-11-19 08:56:30,1281
ssh,10.50.50.28,22,10.64.106.19,1507,success,2017-11-19 08:56:34,1141
ssh,10.50.50.37,22,10.64.106.45,1797,success,2017-11-19 08:59:10,1484
postgresql,10.50.50.28,5432,10.64.105.73,2209,success,2017-11-19 09:06:35,1151
mysql,10.7.133.16,4443,10.64.105.200,2241,success,2017-11-19 09:06:56,1299
mysql,10.50.50.40,4443,10.64.105.213,2223,error,2017-11-19 09:09:57,1491
sftp,10.50.50.29,22,10.64.105.36,2324,success,2017-11-19 09:18:06,1220
sftp,10.50.50.29,22,10.64.106.19,1507,success,2017-11-19 09:25:54,1141
ssh,10.7.133.20,22,10.64.105.60,1752,success,2017-11-19 09:30:35,1383
tds,10.50.50.28,54238,10.64.106.45,1797,success,2017-11-19 09:34:05,1484
sftp,10.7.133.20,22,10.64.105.79,1676,success,2017-11-19 09:38:48,1389
mysql,10.50.50.37,4443,10.64.106.34,2291,error,2017-11-19 09:44:10,1210
tds,10.50.50.26,54238,10.64.105.213,2223,success,2017-11-19 09:44:52,1491
mysql,10.50.50.28,4443,10.64.105.73,2209,success,2017-11-19 09:45:10,1151
tds,10.50.50.40,54238,10.64.105.200,2241,success,2017-11-19 09:46:07,1299
postgresql,10.50.50.46,5432,10.64.105.44,1944,success,2017-11-19 09:46:57,1281
sftp,10.50.50.28,22,10.64.106.19,1507,success,2017-11-19 09:48:45,1141
mysql,10.50.50.26,4443,10.64.105.202,2074,success,2017-11-19 09:50:22,1297
ftp,10.50.50.28,21,10.64.105.60,1752,error,2017-11-19 09:51:03,1383
mysql,10.50.50.26,4443,10.64.105.36,2324,success,2017-11-19 09:52:13,1220
ssh,10.50.50.26,22,10.64.105.56,2444,success,2017-11-19 09:55:42,1274
mysql,10.50.50.29,4443,10.64.106.34,2325,success,2017-11-19 11:01:30,1210
postgresql,10.50.50.26,5432,10.64.105.60,1859,success,2017-11-19 11:03:43,1383
tds,10.50.50.26,54238,10.64.105.36,2377,success,2017-11-19 11:04:21,1220
