stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-19 02:00:00,2017-11-19 02:00:20,smtp,10.7.133.16,25,10.50.50.37,4684,5324,6484
2017-11-19 02:00:00,2017-11-19 02:00:20,smtp,10.7.133.21,25,10.50.50.26,5086,6689,7010
2017-11-19 02:00:00,2017-11-19 02:00:20,smtp,10.7.133.19,25,10.50.50.31,3628,5354,4861
2017-11-19 02:00:00,2017-11-19 02:00:10,smtp,10.7.133.17,25,10.50.50.44,3661,5145,7678
2017-11-19 02:00:00,2017-11-19 02:00:20,smtp,10.7.133.16,25,10.50.50.46,3698,6180,4460
2017-11-19 02:00:13,2017-11-19 02:00:14,ssh,10.7.133.17,22,10.50.50.44,3661,5049,1635
2017-11-19 02:00:14,2017-11-19 02:00:18,ssh,10.7.133.16,22,10.50.50.37,4684,7358,1493
2017-11-19 02:00:14,2017-11-19 02:00:16,ssh,10.7.133.16,22,10.50.50.37,4684,4314,421
2017-11-19 02:00:15,2017-11-19 02:00:19,ssh,10.7.133.17,22,10.50.50.44,3661,4173,4085
2017-11-19 02:00:21,2017-11-19 02:00:26,ssh,10.7.133.16,22,10.50.50.46,3698,6197,4087
2017-11-19 02:00:22,2017-11-19 02:00:23,ssh,10.7.133.19,22,10.50.50.31,3628,6645,1229
2017-11-19 02:00:24,2017-11-19 02:00:27,ssh,10.7.133.19,22,10.50.50.31,3628,5470,1121
2017-11-19 02:00:24,2017-11-19 02:00:26,ssh,10.7.133.16,22,10.50.50.46,3698,6986,3167
2017-11-19 02:00:24,2017-11-19 02:00:24,ssh,10.7.133.16,22,10.50.50.46,3698,6209,3307
2017-11-19 02:00:25,2017-11-19 02:00:25,ssh,10.7.133.21,22,10.50.50.26,5086,7302,2839
2017-11-19 02:00:27,2017-11-19 02:00:28,ssh,10.7.133.19,22,10.50.50.31,3628,4307,1751
2017-11-19 02:00:29,2017-11-19 02:00:31,ssh,10.7.133.21,22,10.50.50.26,5086,4924,2193
2017-11-19 02:00:29,2017-11-19 02:00:34,ssh,10.7.133.16,22,10.50.50.46,3698,4583,951
2017-11-19 02:00:33,2017-11-19 02:00:33,ssh,10.7.133.21,22,10.50.50.26,5086,4184,2475
2017-11-19 02:00:33,2017-11-19 02:00:33,ssh,10.7.133.16,22,10.50.50.46,3698,6919,2287
2017-11-19 03:00:00,2017-11-19 03:14:14,smtp,10.5.71.60,25,10.1.4.17,49191,158,301
2017-11-19 04:00:00,2017-11-19 04:15:58,smtp,10.5.71.60,25,10.1.4.17,49207,112,122
2017-11-19 07:27:00,2017-11-19 07:27:10,ssh,10.50.50.29,22,10.64.106.34,2291,3444,102
2017-11-19 07:40:04,2017-11-19 07:40:14,ftp,10.50.50.26,21,10.64.105.36,2324,4215,1904
2017-11-19 07:40:04,2017-11-19 07:40:14,ftp,10.50.50.26,21,10.64.105.36,2324,60000790,8415
2017-11-19 07:47:42,2017-11-19 07:47:52,mysql,10.7.133.18,4443,10.64.106.34,2291,3615,6718
2017-11-19 07:47:42,2017-11-19 07:47:52,ssh,219.216.128.25,22,10.7.133.18,5500,20004856,6484
2017-11-19 07:49:32,2017-11-19 07:49:42,tds,10.50.50.28,54238,10.64.106.45,1797,3684,7051
2017-11-19 08:06:00,2017-11-19 08:06:10,postgresql,10.50.50.28,5432,10.64.105.73,2209,3130,151
2017-11-19 08:10:07,2017-11-19 08:10:17,ftp,10.50.50.29,21,10.64.105.36,2324,1345,171
2017-11-19 08:13:51,2017-11-19 08:14:01,ftp,10.50.50.26,21,10.64.106.34,2291,2039,9610
2017-11-19 08:16:57,2017-11-19 08:17:07,tds,10.50.50.26,54238,10.64.105.213,2223,30003305,9709
2017-11-19 08:16:57,2017-11-19 08:17:07,tds,10.50.50.26,54238,10.64.105.213,2223,657,3518
2017-11-19 08:17:07,2017-11-19 08:17:17,tds,10.50.50.26,54238,10.64.105.213,2223,180007096,451
2017-11-19 08:17:17,2017-11-19 08:17:27,ssh,219.216.128.25,22,10.50.50.26,5770,40009419,7695
2017-11-19 08:29:13,2017-11-19 08:29:23,ftp,10.50.50.33,21,10.64.106.45,1797,376,349
2017-11-19 08:29:13,2017-11-19 08:29:23,ssh,101.6.6.177,22,10.50.50.33,5555,6050,160008826
2017-11-19 08:29:23,2017-11-19 08:29:33,ftp,10.50.50.33,21,10.64.106.45,1797,90002043,6851
2017-11-19 08:29:33,2017-11-19 08:29:43,ssh,219.216.128.25,22,10.50.50.33,5647,60009179,7825
2017-11-19 08:30:55,2017-11-19 08:31:05,mongodb,10.50.50.26,8005,10.64.105.200,2241,4588,2595
2017-11-19 08:35:08,2017-11-19 08:35:18,tds,10.50.50.26,54238,10.64.105.73,2209,1826,501
2017-11-19 08:45:18,2017-11-19 08:45:28,ssh,219.216.128.25,22,10.50.50.26,5759,3082,160007049
2017-11-19 08:45:28,2017-11-19 08:45:38,ssh,219.216.128.25,22,10.50.50.26,5391,5692,120005619
2017-11-19 08:45:28,2017-11-19 08:45:38,mongodb,10.50.50.28,8005,10.64.105.36,2324,1220,571
2017-11-19 08:45:28,2017-11-19 08:45:38,ssh,140.211.11.105,22,10.50.50.28,5473,6551,40008698
2017-11-19 08:45:38,2017-11-19 08:45:48,ssh,219.216.128.25,22,10.50.50.28,5044,20007532,192
2017-11-19 08:45:38,2017-11-19 08:45:48,tds,10.50.50.26,54238,10.64.105.213,2223,210007670,8528
2017-11-19 08:45:48,2017-11-19 08:45:58,tds,10.50.50.26,54238,10.64.105.213,2223,8778,90003235
2017-11-19 08:51:15,2017-11-19 08:51:25,tds,10.7.133.18,54238,10.64.106.34,2291,9514,180000204
